,Title,Author,Author Average Rating,Author Votes,Author Review Count,Distinct Works,Year,Rating,Raters,Genres,worth_reading
235,Norwegian Wood (Paperback),Haruki Murakami,3.95,"3,150,949","247,606",429,1987,4.03,503949,"Fiction,Cultural,Romance,Contemporary,Asian Literature,Novels,Classics,Literature,Literary Fiction,Magical Realism",yes
236,Mexican Gothic (Hardcover),Silvia Moreno-Garcia,3.72,"400,482","63,948",143,2020,3.68,271374,"Horror,Fiction,Historical,Gothic,Mystery,Fantasy,Thriller,Adult,Audiobook,Historical",yes
237,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.22,"2,287,629","119,996",237,1989,4.33,719445,"Historical,Fiction,Historical,Fantasy,Classics,Historical,Audiobook,Novels,European Literature,Adult",yes
238,November 9 (Paperback),Colleen Hoover,4.24,"9,638,832","874,566",70,2015,4.26,626184,"Romance,Contemporary,New Adult,Fiction,Romance,Young Adult,Audiobook,Adult,Womens Fiction,Love",yes
239,Me Talk Pretty One Day (Paperback),David Sedaris,4.01,"2,059,290","90,223",77,2000,4.0,672942,"Nonfiction,Humor,Autobiography,Writing,Short Stories,Humor,Biography,Audiobook,Biography Memoir,Biography",yes
240,House of Leaves (Paperback),Mark Z. Danielewski,4.04,"173,174","17,229",17,2000,4.09,150749,"Horror,Fiction,Fantasy,Mystery,Thriller,Contemporary,Novels,Adult,Literature,Fantasy",yes
241,Love and Other Words (Hardcover),Christina Lauren,3.99,"2,257,595","229,463",74,2018,4.34,256174,"Romance,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,New Adult,Adult Fiction,Young Adult",yes
242,Project Hail Mary (Hardcover),Andy Weir,4.28,"1,953,594","196,612",48,2021,4.52,360368,"Science Fiction,Fiction,Audiobook,Space,Fantasy,Adult,Thriller,Science Fiction Fantasy,Adventure,Mystery",yes
243,Siddhartha (Mass Market Paperback),Hermann Hesse,4.07,"1,157,455","47,773",959,1922,4.06,699769,"Classics,Fiction,Philosophy,Spirituality,Religion,Literature,Religion,European Literature,Novels,Historical",yes
244,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.23,"1,959,342","83,534",975,1908,4.29,890465,"Classics,Fiction,Young Adult,Historical,Childrens,Childrens,Audiobook,Historical,Cultural,Young Adult",yes
245,Room (Kindle Edition),Emma Donoghue,3.97,"1,030,443","82,303",67,2010,4.07,773065,"Fiction,Contemporary,Adult,Adult Fiction,Thriller,Audiobook,Book Club,Drama,Mystery,Novels",yes
246,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,4.1,"868,382","104,377",33,2011,4.0,352846,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Fantasy,Fiction,Fantasy,Young Adult,Fantasy",yes
247,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.46,"32,199,613","716,327",385,2000,4.57,3246215,"Fantasy,Young Adult,Fiction,Fantasy,Childrens,Childrens,Adventure,Audiobook,Classics,Science Fiction Fantasy",yes
248,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.06,"751,443","50,594",16,2008,4.07,435517,"Fantasy,Young Adult,Romance,Fiction,Adventure,Young Adult,Fantasy,Fantasy,Fantasy,Young Adult",yes
249,Love in the Time of Cholera (Paperback),Gabriel García Márquez,3.99,"1,946,995","100,022",543,1985,3.93,470474,"Fiction,Classics,Historical,Romance,Magical Realism,Literature,Novels,European Literature,Literary Fiction,Historical",yes
250,"Rich Dad, Poor Dad (Paperback)",Robert T. Kiyosaki,4.1,"696,201","27,513",204,1997,4.12,531317,"Business,Economics,Nonfiction,Self Help,Finance,Currency,Self Help,Economics,Audiobook,Business",yes
251,A Tree Grows in Brooklyn (Paperback),Betty  Smith,4.28,"448,442","25,874",15,1943,4.29,434302,"Classics,Fiction,Historical,Young Adult,Young Adult,Historical,Literature,New York,Novels,Book Club",yes
252,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.46,"32,199,613","716,327",385,1999,4.58,3657453,"Fantasy,Fiction,Young Adult,Fantasy,Childrens,Childrens,Adventure,Audiobook,Classics,Science Fiction Fantasy",yes
253,The Adventures of Huckleberry Finn (Paperback),Mark Twain,3.87,"2,625,108","58,463","3,543",1884,3.83,1225505,"Classics,Fiction,Historical,Literature,Young Adult,Adventure,Academic,Novels,Young Adult,Academic",yes
254,"Delirium (Delirium, #1)",Lauren Oliver,3.88,"1,385,551","106,047",51,2011,3.96,452659,"Young Adult,Science Fiction,Romance,Science Fiction,Fantasy,Fiction,Young Adult,Audiobook,Love,Apocalyptic",yes
255,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses (Hardcover),Eric Ries,4.11,"304,465","4,372",24,2011,4.11,296295,"Business,Nonfiction,Business,Business,Leadership,Buisness,Self Help,Science,Self Help,Economics",yes
256,The Autobiography of Malcolm X (Mass Market Paperback),Malcolm X,4.35,"259,327","8,571",44,1965,4.35,249028,"Nonfiction,Biography,History,Autobiography,Biography,Race,Politics,Classics,Biography Memoir,Cultural",yes
257,"Fallen (Fallen, #1)",Lauren Kate,3.79,"1,194,214","52,807",54,2009,3.72,556477,"Young Adult,Fantasy,Romance,Fantasy,Paranormal,Romance,Fiction,Fantasy,Fantasy,Young Adult",yes
258,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,4.0,"502,864","48,617",49,2007,4.13,403323,"Romance,Fiction,LGBT,Contemporary,LGBT,Audiobook,LGBT,Young Adult,Young Adult,Adult",yes
259,Behind Closed Doors (Hardcover),B.A. Paris,3.86,"771,994","75,013",17,2016,3.98,447345,"Thriller,Fiction,Mystery,Thriller,Suspense,Audiobook,Thriller,Adult,Mystery,Contemporary",yes
260,"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.07,"910,259","79,023",28,2011,4.02,450580,"Fantasy,Romance,Fiction,Fantasy,Paranormal,Paranormal,Fantasy,Fantasy,Romance,Fantasy",yes
261,The Graveyard Book (Hardcover),Neil Gaiman,4.14,"7,226,538","450,339","1,481",2008,4.15,501550,"Fantasy,Young Adult,Fiction,Horror,Childrens,Fantasy,Childrens,Audiobook,Paranormal,Fantasy",yes
262,"Tomorrow, and Tomorrow, and Tomorrow (Hardcover)",Gabrielle Zevin,4.01,"479,455","63,229",14,2022,4.34,97007,"Fiction,Contemporary,Romance,Audiobook,Literary Fiction,Adult,Historical,Adult Fiction,Science Fiction,Young Adult",yes
263,The Unbearable Lightness of Being (Paperback),Milan Kundera,4.02,"687,009","38,604",162,1984,4.11,413934,"Fiction,Classics,Philosophy,Literature,Novels,European Literature,Romance,Contemporary,Literary Fiction,Literature",yes
264,Einstein: His Life and Universe (Hardcover),Walter Isaacson,4.15,"1,633,630","39,790",71,2007,4.15,167831,"Biography,Nonfiction,Science,History,Science,Biography Memoir,Audiobook,Biography,Autobiography,Historical",yes
265,A Walk to Remember (Kindle Edition),Nicholas Sparks,4.1,"6,336,846","194,778",193,1999,4.19,768813,"Romance,Fiction,Contemporary,Womens Fiction,Young Adult,Adult,Romance,Drama,Adult Fiction,Love",yes
266,The Starless Sea (Hardcover),Erin Morgenstern,4.0,"1,031,796","123,844",5,2019,3.86,168432,"Fantasy,Fiction,Magical Realism,Adult,Romance,LGBT,Audiobook,Writing,Fantasy,LGBT",yes
267,Crying in H Mart (Hardcover),Michelle Zauner,4.29,"223,826","26,634",1,2021,4.29,223847,"Nonfiction,Autobiography,Audiobook,Biography,Food and Drink,Biography Memoir,Adult,Music,Biography,Contemporary",yes
268,The Woman in Cabin 10 (Hardcover),Ruth Ware,3.76,"1,586,305","141,423",17,2016,3.74,513331,"Mystery,Thriller,Fiction,Thriller,Suspense,Audiobook,Adult,Mystery,Contemporary,Adult Fiction",yes
269,11/22/63 (Hardcover),Stephen King,4.06,"17,484,898","775,851","1,886",2011,4.32,489906,"Fiction,Historical,Science Fiction,Science Fiction,Fantasy,Horror,Thriller,Audiobook,Historical,Mystery",yes
270,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,4.25,"556,000","69,692",18,2015,4.26,259596,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Science Fiction,Fantasy,Audiobook,Fantasy,Adventure",yes
271,Station Eleven (Hardcover),Emily St. John Mandel,3.99,"711,648","83,219",20,2014,4.07,438424,"Fiction,Science Fiction,Science Fiction,Apocalyptic,Audiobook,Adult,Fantasy,Literary Fiction,Adult Fiction,Science Fiction",yes
272,The Scarlet Letter (Paperback),Nathaniel Hawthorne,3.46,"947,803","27,917","1,820",1850,3.43,807487,"Classics,Fiction,Historical,Academic,Literature,Young Adult,Academic,Historical,Classics,Novels",yes
273,Don Quixote (Paperback),Miguel de Cervantes Saavedra,3.88,"295,156","13,087","1,011",1605,3.89,246983,"Classics,Fiction,Literature,European Literature,Adventure,Historical,Novels,Cultural,Humor,Classics",yes
274,Before We Were Yours (Hardcover),Lisa Wingate,4.3,"743,089","63,894",37,2017,4.39,515290,"Historical,Fiction,Historical,Audiobook,Book Club,Adult,Adult Fiction,Family,Contemporary,Parenting",yes
275,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.24,"3,310,059","152,579",80,2007,4.11,618792,"Young Adult,Fantasy,Paranormal,Fantasy,Romance,Fantasy,Fiction,Fantasy,Romance,Fantasy",yes
276,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.46,"32,199,613","716,327",385,1998,4.43,3463723,"Fantasy,Fiction,Young Adult,Fantasy,Childrens,Childrens,Audiobook,Adventure,Classics,Science Fiction Fantasy",yes
277,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.26,"14,551,657","471,013",32,2010,4.06,2844550,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook",yes
278,The Stand (Hardcover),Stephen King,4.06,"17,484,898","775,851","1,886",1978,4.34,708016,"Horror,Fiction,Fantasy,Science Fiction,Apocalyptic,Thriller,Science Fiction,Audiobook,Science Fiction,Classics",yes
279,Fight Club (Paperback),Chuck Palahniuk,3.84,"1,638,041","74,331",149,1996,4.19,551186,"Fiction,Classics,Contemporary,Thriller,Novels,Mystery,Adult,Literature,Literature,Adult Fiction",yes
280,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,4.0,"1,864,417","180,088",59,2009,3.76,466078,"Young Adult,Fantasy,Romance,Fantasy,Shapeshifters,Fiction,Romance,Fantasy,Fantasy,Young Adult",yes
281,Speak (Hardcover),Laurie Halse Anderson,4.01,"997,105","70,074",61,1999,4.04,552659,"Young Adult,Fiction,Contemporary,Realistic Fiction,Health,Young Adult,Young Adult,Young Adult,Academic,Sociology",yes
282,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.91,"744,671","39,434",23,2011,3.86,471856,"Nonfiction,Autobiography,Humor,Audiobook,Biography,Humor,Biography Memoir,Biography,Writing,Adult",yes
283,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,3.9,"1,002,179","113,163",77,2021,4.05,295670,"Romance,Contemporary,Romance,Fiction,Adult,Audiobook,Womens Fiction,New Adult,Adult Fiction,Humor",yes
284,"Uglies (Uglies, #1)",Scott Westerfeld,3.84,"1,580,588","86,182",77,2005,3.85,626490,"Young Adult,Science Fiction,Science Fiction,Fiction,Fantasy,Romance,Young Adult,Adventure,Apocalyptic,Science Fiction Fantasy",yes
285,Beloved (Kindle Edition),Toni Morrison,3.98,"995,568","61,510",156,1987,3.92,392044,"Fiction,Classics,Historical,Magical Realism,Literature,Historical,Cultural,Academic,Novels,Literary Fiction",yes
286,The Paris Apartment (Hardcover),Lucy Foley,3.78,"1,187,320","108,261",14,2022,3.69,249814,"Mystery,Thriller,Fiction,Thriller,Audiobook,Suspense,Adult,Contemporary,Mystery,Adult Fiction",yes
287,A People's History of the United States (Paperback),Howard Zinn,4.08,"255,076","8,972",178,1980,4.07,227827,"History,Nonfiction,Politics,North American Hi...,Historical,Social Movements,Classics,Audiobook,Literature,Unfinished",yes
288,Then She Was Gone (Hardcover),Lisa Jewell,3.95,"1,515,014","121,188",44,2017,4.06,450110,"Mystery,Thriller,Fiction,Thriller,Audiobook,Suspense,Adult,Mystery,Contemporary,Adult Fiction",yes
289,The Power of Now: A Guide to Spiritual Enlightenment (Paperback),Eckhart Tolle,4.16,"563,832","25,042",207,1997,4.15,300671,"Self Help,Nonfiction,Spirituality,Philosophy,Psychology,Self Help,Audiobook,Religion,Inspirational,Unfinished",yes
290,I'm Glad My Mom Died (ebook),Jennette McCurdy,4.59,"249,076","31,464",1,2022,4.59,249069,"Nonfiction,Autobiography,Audiobook,Biography,Health,Adult,Biography,Biography Memoir,Humor,Contemporary",yes
291,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.26,"14,551,657","471,013",32,2009,4.3,3113242,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook",yes
292,Flowers for Algernon (Paperback),Daniel Keyes,4.19,"629,065","29,349",86,1959,4.18,591577,"Fiction,Classics,Science Fiction,Young Adult,Psychology,Literature,Academic,Novels,Adult,Academic",yes
293,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,4.05,"1,273,073","96,788",17,2013,3.88,542132,"Mystery,Fiction,Mystery,Thriller,Thriller,Audiobook,Adult,Mystery,Contemporary,Adult Fiction",yes
294,A Promised Land (Kindle Edition),Barack Obama,4.04,"592,643","34,941",223,2020,4.35,188277,"Nonfiction,Biography,Autobiography,Politics,Audiobook,History,Biography,Biography Memoir,Politics,Adult",yes
295,Into the Water (Hardcover),Paula Hawkins,3.89,"3,112,993","158,295",16,2017,3.59,351892,"Mystery,Fiction,Thriller,Thriller,Audiobook,Suspense,Mystery,Adult,Contemporary,Adult Fiction",yes
296,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.82,"1,036,312","56,960",79,2009,3.77,579215,"Fantasy,Young Adult,Fantasy,Romance,Fiction,Fantasy,Fantasy,Paranormal,Fantasy,Romance",yes
297,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,4.06,"544,129","75,985",15,2020,3.95,168273,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Young Adult,Mystery,Historical,Fiction,Fantasy",yes
298,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,4.26,"14,551,657","471,013",32,2020,3.83,330302,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Audiobook,Romance,Adventure,Young Adult,Science Fiction Fantasy",yes
299,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.17,"3,659,486","407,633",69,2016,4.61,493917,"Fantasy,Young Adult,Fiction,Young Adult,LGBT,Romance,Fantasy,Adventure,Fantasy,Audiobook",yes
300,"The Poppy War (The Poppy War, #1)",R.F. Kuang,4.26,"304,410","57,977",15,2018,4.15,148598,"Fantasy,Fiction,Historical,Adult,Historical,Young Adult,Fantasy,Audiobook,War,Fantasy",yes
301,"Maybe Someday (Maybe, #1)",Colleen Hoover,4.24,"9,638,832","874,566",70,2014,4.13,326320,"Romance,New Adult,Contemporary,Romance,Young Adult,Fiction,Music,Womens Fiction,Audiobook,Academic",yes
302,The Four Winds (Hardcover),Kristin Hannah,4.31,"3,556,418","296,617",82,2021,4.3,481582,"Historical,Fiction,Audiobook,Historical,Adult,Adult Fiction,Family,Book Club,Literary Fiction,Novels",yes
303,The Guernsey Literary and Potato Peel Pie Society (Paperback),Mary Ann Shaffer,4.18,"704,262","59,403",6,2008,4.18,704091,"Historical,Fiction,Romance,Historical,War,Book Club,War,Writing,Adult,Audiobook",yes
304,The Lost Apothecary (Hardcover),Sarah Penner,3.76,"254,886","28,396",2,2021,3.76,254657,"Historical,Fiction,Mystery,Fantasy,Historical,Audiobook,Adult,Contemporary,Thriller,Thriller",yes
305,The Poisonwood Bible (Hardcover),Barbara Kingsolver,4.02,"1,464,814","87,602",64,1998,4.08,707739,"Fiction,Historical,Cultural,Classics,Historical,Literary Fiction,Literature,Novels,Religion,Adult Fiction",yes
306,Start with Why: How Great Leaders Inspire Everyone to Take Action (Hardcover),Simon Sinek,4.09,"262,016","14,716",52,2009,4.1,186003,"Business,Leadership,Nonfiction,Self Help,Self Help,Business,Psychology,Audiobook,Business,Buisness",yes
307,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,4.1,"157,283","32,845",14,2020,3.94,102899,"Fantasy,Historical,Young Adult,Romance,Retellings,Historical,Fiction,Young Adult,Mystery,Audiobook",yes
308,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,3.94,"685,090","57,125",33,2013,4.02,435767,"Young Adult,Science Fiction,Science Fiction,Fiction,Science Fiction,Fantasy,Romance,Apocalyptic,Science Fiction,Audiobook",yes
309,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,4.06,"263,787","37,335",7,2018,4.11,204086,"Fantasy,Young Adult,Fiction,Young Adult,Fantasy,Audiobook,Romance,Adventure,Fantasy,Cultural",yes
310,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.4,"4,950,089","344,996",340,2010,4.65,404957,"Fantasy,Fiction,Fantasy,Fantasy,Audiobook,Adult,Science Fiction Fantasy,Fantasy,Epic,Adventure",yes
311,"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,3.91,"359,315","47,043",7,2019,4.02,231322,"Fantasy,Romance,Young Adult,Young Adult,Paranormal,Fantasy,Fiction,Romance,Fantasy,New Adult",yes
312,One Last Stop (Paperback),Casey McQuiston,4.11,"856,789","116,995",6,2021,3.99,166120,"Romance,LGBT,Contemporary,LGBT,Fiction,LGBT,Adult,Audiobook,New Adult,Science Fiction",yes
313,"The Host (The Host, #1)",Stephenie Meyer,3.68,"13,006,065","387,890",74,2008,3.85,966779,"Young Adult,Science Fiction,Fantasy,Romance,Fiction,Science Fiction,Fantasy,Science Fiction,Adult,Romance",yes
314,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,4.2,"764,444","82,799",119,2015,4.32,220289,"Fantasy,Fiction,Science Fiction,Science Fiction,Adult,Science Fiction Fantasy,Audiobook,LGBT,Apocalyptic,Fantasy",yes
315,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.36,"8,085,275","673,336",87,2021,4.42,424940,"Fantasy,Romance,New Adult,Fairies,Fiction,Romance,Adult,Young Adult,Fantasy,Audiobook",yes
316,Lessons in Chemistry (Hardcover),Bonnie Garmus,4.38,"234,467","25,445",5,2022,4.38,234354,"Fiction,Historical,Romance,Audiobook,Feminism,Historical,Adult,Humor,Contemporary,Adult Fiction",yes
317,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,4.04,"3,486,398","218,504",470,2019,4.2,311150,"Fiction,Science Fiction,Science Fiction,Feminism,Audiobook,Classics,Adult,Cultural,Speculative Fiction,Literary Fiction",yes
318,"Vicious (Villains, #1)",V.E. Schwab,4.17,"1,701,431","237,356",61,2013,4.23,182111,"Fantasy,Science Fiction,Fiction,Adult,Fantasy,Young Adult,Fantasy,Comics,Thriller,Adult Fiction",yes
319,The Iliad (Paperback),Homer,3.84,"1,514,849","29,713","1,246",800,3.89,413617,"Classics,Poetry,Fiction,Fantasy,Literature,Fantasy,Historical,Academic,Mythology,War",yes
320,The Alice Network (Paperback),Kate Quinn,4.32,"824,549","70,577",26,2017,4.31,394071,"Historical,Fiction,Historical,Audiobook,War,War,Adult,Cultural,Book Club,Adult Fiction",yes
321,"Murder on the Orient Express (Hercule Poirot, #9)",Agatha Christie,4.02,"5,724,416","337,931","3,345",1934,4.2,529166,"Mystery,Classics,Fiction,Mystery,Thriller,Thriller,Audiobook,Mystery,Adult,Mystery",yes
322,Stardust (Paperback),Neil Gaiman,4.14,"7,226,538","450,339","1,481",1998,4.1,415719,"Fantasy,Fiction,Romance,Young Adult,Adventure,Fantasy,Audiobook,Science Fiction Fantasy,Fantasy,Adult",yes
323,"Beartown (Beartown, #1)",Fredrik Backman,4.26,"2,271,485","270,393",27,2016,4.28,323123,"Fiction,Contemporary,Audiobook,Sports,Adult,Literary Fiction,Adult Fiction,Book Club,Realistic Fiction,Cultural",yes
324,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.36,"8,085,275","673,336",87,2016,4.62,882612,"Fantasy,Romance,Young Adult,New Adult,Fairies,Fiction,Fantasy,Romance,Young Adult,Fantasy",yes
325,Homegoing (Hardcover),Yaa Gyasi,4.36,"410,142","46,054",11,2016,4.47,282135,"Historical,Fiction,Cultural,Historical,Literary Fiction,Audiobook,Race,Adult,Western Africa,Book Club",yes
326,Carrie Soto Is Back (Hardcover),Taylor Jenkins Reid,4.27,"3,848,195","430,320",19,2022,4.26,144333,"Fiction,Historical,Contemporary,Audiobook,Romance,Sports,Adult,Historical,Adult Fiction,Literary Fiction",yes
327,Girl with a Pearl Earring (Paperback),Tracy Chevalier,3.86,"955,826","36,481",53,1999,3.92,701150,"Historical,Fiction,Historical,Classics,Art,Romance,Adult,Adult Fiction,Novels,Literature",yes
328,Influence: The Psychology of Persuasion (Paperback),Robert B. Cialdini,4.17,"159,484","6,126",49,1984,4.21,136231,"Psychology,Business,Nonfiction,Self Help,Self Help,Leadership,Science,Language,Business,Buisness",yes
329,The Sun Is Also a Star (Hardcover),Nicola Yoon,3.99,"922,905","92,983",17,2016,4.0,288262,"Young Adult,Romance,Contemporary,Fiction,Audiobook,Realistic Fiction,Young Adult,Young Adult,Young Adult,Romance",yes
330,Why We Sleep: Unlocking the Power of Sleep and Dreams (Hardcover),Matthew Walker,4.38,"148,224","15,520",18,2017,4.38,149451,"Nonfiction,Science,Health,Psychology,Self Help,Audiobook,Biology,Self Help,Science,Health",yes
331,Misery (Paperback),Stephen King,4.06,"17,484,898","775,851","1,886",1987,4.2,614435,"Horror,Fiction,Thriller,Suspense,Mystery,Adult,Thriller,Audiobook,Novels,Mystery",yes
332,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.24,"533,487","35,125",46,2006,4.29,266744,"Fantasy,Fiction,Adventure,Adult,Fantasy,Fantasy,Audiobook,Science Fiction Fantasy,Mystery,Mystery",yes
333,The Couple Next Door (Hardcover),Shari Lapena,3.8,"977,402","78,409",13,2016,3.81,483094,"Thriller,Mystery,Fiction,Thriller,Suspense,Audiobook,Mystery,Adult,Contemporary,Thriller",yes
334,My Dark Vanessa (Hardcover),Kate Elizabeth Russell,4.09,"235,160","32,649",2,2020,4.09,235009,"Fiction,Contemporary,Adult,Audiobook,Literary Fiction,Thriller,Dark,Health,Adult Fiction,Sociology",yes
335,Between the World and Me (Hardcover),Ta-Nehisi Coates,4.27,"499,209","49,084",221,2015,4.4,305920,"Nonfiction,Autobiography,Race,Audiobook,History,Social Movements,Biography,Politics,Writing,Cultural",yes
336,Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,3.85,"1,327,359","50,114","3,473",1886,3.83,500227,"Classics,Horror,Fiction,Science Fiction,Mystery,Gothic,Fantasy,Literature,Academic,Literature",yes
337,John Adams (Paperback),David McCullough,4.08,"883,389","39,003",80,2001,4.06,348831,"History,Biography,Nonfiction,North American Hi...,Politics,Politics,Historical,Biography Memoir,Military History,Audiobook",yes
338,The Adventures of Tom Sawyer (Paperback),Mark Twain,3.87,"2,625,117","58,463","3,543",1876,3.92,872135,"Classics,Fiction,Adventure,Historical,Young Adult,Literature,Childrens,Academic,Novels,Literature",yes
339,Atonement (Paperback),Ian McEwan,3.74,"1,097,044","75,318",115,2001,3.93,489679,"Fiction,Historical,Classics,Romance,Historical,War,Literary Fiction,Contemporary,Literature,Novels",yes
340,Tuesdays with Morrie (Paperback),Mitch Albom,4.08,"2,151,443","108,389",65,1997,4.15,926233,"Nonfiction,Autobiography,Biography,Classics,Inspirational,Philosophy,Self Help,Contemporary,Adult,Biography Memoir",yes
341,Meditations (Paperback),Marcus Aurelius,4.25,"192,856","10,819",425,180,4.26,187182,"Philosophy,Nonfiction,Classics,History,Self Help,Psychology,Self Help,Spirituality,Leadership,Biography",yes
342,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma (Hardcover)",Bessel van der Kolk,4.46,"113,948","9,697",32,2014,4.47,110797,"Nonfiction,Psychology,Self Help,Health,Health,Science,Audiobook,Self Help,Psychology,Social Science",yes
343,All Your Perfects (Paperback),Colleen Hoover,4.24,"9,638,832","874,566",70,2018,4.19,332565,"Romance,Contemporary,Fiction,New Adult,Romance,Adult,Audiobook,Womens Fiction,Drama,Adult Fiction",yes
344,Before I Fall (Paperback),Lauren Oliver,3.88,"1,385,551","106,047",51,2010,3.89,326227,"Young Adult,Contemporary,Fiction,Romance,Fantasy,Fantasy,Realistic Fiction,Young Adult,Death,Audiobook",yes
345,Do Androids Dream of Electric Sheep? (Kindle Edition),Philip K. Dick,3.93,"1,245,740","68,909","1,144",1968,4.09,408600,"Science Fiction,Fiction,Classics,Science Fiction,Science Fiction,Science Fiction Fantasy,Fantasy,Novels,Speculative Fiction,Literature",yes
346,Maybe You Should Talk to Someone (Hardcover),Lori Gottlieb,4.35,"259,863","23,286",15,2019,4.38,249203,"Nonfiction,Psychology,Autobiography,Self Help,Health,Audiobook,Biography,Biography Memoir,Adult,Self Help",yes
347,The Master and Margarita (Paperback),Mikhail Bulgakov,4.23,"432,848","23,967",465,1967,4.3,305570,"Classics,Fiction,Cultural,Fantasy,Literature,Magical Realism,Literature,Novels,Historical,Literature",yes
348,Carrie (Mass Market Paperback),Stephen King,4.06,"17,484,898","775,851","1,886",1974,3.98,639295,"Horror,Fiction,Thriller,Fantasy,Fantasy,Classics,Adult,Fantasy,Audiobook,Novels",yes
349,Americanah (Hardcover),Chimamanda Ngozi Adichie,4.33,"1,015,521","93,204",111,2013,4.32,337397,"Fiction,Cultural,Contemporary,Feminism,Literary Fiction,Race,Western Africa,Romance,Novels,Audiobook",yes
350,Homo Deus: A History of Tomorrow (Kindle Edition),Yuval Noah Harari,4.33,"1,222,292","74,056",54,2015,4.22,218342,"Nonfiction,History,Science,Philosophy,Audiobook,Anthropology,Sociology,Politics,Psychology,Science",yes
351,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,4.1,"796,599","104,007",47,2008,3.97,184622,"Young Adult,Science Fiction,Science Fiction,Fantasy,Fiction,Adventure,Young Adult,Thriller,Audiobook,Apocalyptic",yes
352,Pretty Girls (Paperback),Karin Slaughter,4.07,"1,522,336","109,106",107,2015,4.03,255870,"Thriller,Mystery,Fiction,Thriller,Audiobook,Mystery,Suspense,Horror,Adult,Contemporary",yes
353,My Year of Rest and Relaxation (Paperback),Ottessa Moshfegh,3.65,"383,161","56,427",37,2018,3.71,242358,"Fiction,Contemporary,Literary Fiction,Health,Audiobook,Adult,Novels,Adult Fiction,New York,Womens",yes
354,"Where'd You Go, Bernadette (Hardcover)",Maria Semple,3.79,"617,985","55,997",8,2012,3.88,541169,"Fiction,Contemporary,Humor,Mystery,Audiobook,Womens Fiction,Adult,Adult Fiction,Book Club,Novels",yes
355,Klara and the Sun (Hardcover),Kazuo Ishiguro,3.85,"1,336,703","117,743",46,2021,3.77,238647,"Fiction,Science Fiction,Audiobook,Literary Fiction,Fantasy,Science Fiction,Contemporary,Adult,Novels,Speculative Fiction",yes
356,"1Q84 (1Q84, #1-3)",Haruki Murakami,3.95,"3,150,985","247,612",429,2009,3.93,239336,"Fiction,Fantasy,Magical Realism,Cultural,Science Fiction,Asian Literature,Contemporary,Novels,Literature,Science Fiction",yes
