Title,Author,Author Average Rating,Author Votes,Author Review Count,Distinct Works,Year,Rating,Raters,Genres
The Marvelous Misadventures of Ingrid Winter (Ingrid Winter Misadventure #1),Janne S. Drangsholt,3.07,"7,100",770,8,2017,2.97,6340,"Fiction,Humor,Contemporary,Womens Fiction,Novels,Family,Audiobook,Mystery,Humor,Literary Fiction"
Tiger Babies Strike Back: How I Was Raised by a Tiger Mom but Could Not Be Turned to the Dark Side,Kim Wong Keltner,3.2,"2,054",281,4,2013,2.96,261,"Nonfiction,Autobiography,Parenting,Cultural,Unfinished,Humor,Biography,Literature,Cultural,Literature"
"Nothing Bad Is Going to Happen (No One Else Can Have You, #2)",Kathleen  Hale,3.22,"8,082","1,896",5,2016,2.89,757,"Mystery,Young Adult,Fiction,Contemporary,Realistic Fiction,Romance,Thriller,Thriller,Mystery,Humor"
The Daylight Marriage,Heidi Pitlor,3.66,"27,562","3,779",22,2015,2.96,3911,"Fiction,Mystery,Thriller,Thriller,Suspense,Literary Fiction,Contemporary,Adult,Adult Fiction,Drama"
I Take You,Eliza Kennedy,3.11,"7,613","1,218",4,2015,2.97,5811,"Fiction,Womens Fiction,Romance,Humor,Contemporary,Adult,Audiobook,Adult Fiction,Marriage,Humor"
A Desirable Residence,Madeleine Wickham,3.35,"132,755","6,145",16,2004,2.96,6443,"Womens Fiction,Fiction,Romance,Contemporary,Audiobook,Adult,European Literature,Womens Fiction,Adult Fiction,Family"
"Three Bedrooms, Two Baths, One Very Dead Corpse",David  James,2.98,321,89,2,2010,2.94,231,"Mystery,Mystery,Fiction"
The Cult of the Amateur: How Today's Internet Is Killing Our Culture,Andrew Keen,3.21,"2,624",497,9,2007,2.82,1122,"Nonfiction,Science,Computers,Sociology,Cultural,Business,Psychology,Culture,Internet,Economics"
My Boyfriend's Back,Chrissy Olinger,2.94,677,69,2,2011,2.94,672,"Romance,Fantasy,Fantasy,Fiction,Womens Fiction,Novella,Contemporary,Short Stories,Paranormal,Romance"
The Red House,Mark Haddon,3.87,"1,452,643","59,872",63,2012,2.96,15537,"Fiction,Contemporary,Family,Literary Fiction,European Literature,Unfinished,Novels,Audiobook,Adult Fiction,Adult"
Vissen redden,Annelies Verbeke,3.24,"6,224",565,44,2010,2.93,437,"Fiction,Roman,European Literature"
Lake People,Abi Maxwell,3.21,682,172,3,2013,2.92,367,"Fiction,Adult Fiction,Contemporary,Literary Fiction"
"Heather, the Totality",Matthew Weiner,2.94,"6,508","1,142",4,2017,2.92,6422,"Fiction,Contemporary,Audiobook,Adult,Adult Fiction,Thriller,Literary Fiction,Novels,Novella,New York"
Bumble-Ardy,Maurice Sendak,4.22,"1,206,749","23,221",205,2013,2.95,935,"Childrens,Childrens,Animals,Fiction,Poetry,Humor,Childrens,Fantasy,Family,Young Adult"
The Pleasures of Men,Kate Williams,3.67,"11,245","1,513",57,2012,2.79,1622,"Historical,Mystery,Historical,Fiction,Gothic,Horror,Historical,Mystery,Thriller,Suspense"
بريد الليل,Hoda Barakat,3.13,"3,731",839,12,2018,3.03,2628,"Fiction,Cultural,Novels,Audiobook,War,Literary Fiction,Adult,Contemporary,Short Stories,Literature"
The Glades,Clifton Campbell,2.93,289,45,2,2010,2.93,284,"Mystery,Fiction,Thriller,Short Stories,Thriller,Mystery"
Serenade,Leon de Winter,3.45,"9,049",414,49,1995,2.92,319,"Literature,Fiction,European Literature,Roman,Music"
Checkpoint,Nicholson Baker,3.64,"38,458","5,207",33,2005,2.89,886,"Fiction,Novels,Politics,Literary Fiction,Contemporary,Literature,Adult Fiction,The United States Of America"
The Better to Hold You (Abra Barrow #1),Alisa Sheckley,3.04,631,81,2,2009,2.92,414,"Fantasy,Fantasy,Romance,Romance,Fantasy,Shapeshifters,Fiction,Paranormal,Adult,Fantasy"
The Orphanage of Gods,Helena Coggan,3.48,"1,266",354,5,2019,2.91,325,"Fantasy,Young Adult,LGBT,Young Adult,Fiction,Romance,Fantasy,Fantasy,Science Fiction,LGBT"
Crazy,Benjamin Lebert,3.01,"3,154",215,14,2001,2.92,2201,"Young Adult,Fiction,European Literature,Contemporary,Academic,Novels,Young Adult,Cultural,Roman,Drama"
The Transition of Juan Romero,H.P. Lovecraft,4.0,"692,989","44,204","3,388",1919,2.98,1019,"Horror,Horror,Short Stories,Fiction,Fantasy,Fantasy,Literature,Classics,Lovecraftian,Novels"
The Woman Who Went to Bed for a Year,Sue Townsend,3.76,"128,826","7,264",74,2012,2.95,13534,"Fiction,Humor,Contemporary,Humor,Womens Fiction,European Literature,Novels,Audiobook,Family,Relationships"
Fogtown,Andersen Gabrych,3.82,"10,571",415,52,2010,2.92,308,"Sequential Art,Sequential Art,Mystery,Mystery,Mystery,LGBT,Historical,Graphic Novels Comics,Fiction,LGBT"
The Flame Alphabet,Ben Marcus,4.07,"87,088","3,771",45,2012,2.88,5237,"Fiction,Science Fiction,Science Fiction,Novels,Horror,Fantasy,Literary Fiction,Humanities,Speculative Fiction,Literature"
De leesclub,Renate Dorrestein,3.35,"13,149","1,052",64,2010,2.91,590,"Fiction,Humor,European Literature,Novels,Academic,Book Club,Roman"
Among the Ten Thousand Things,Julia Pierpont,2.98,"13,053","1,801",3,2015,2.82,11517,"Fiction,Literary Fiction,Contemporary,New York,Family,Marriage,Adult Fiction,Audiobook,Novels,Adult"
The Brass Bed (Jewel Heiss #1),Jennifer Stevenson,3.37,"2,136",470,57,2008,2.9,794,"Romance,Fantasy,Fantasy,Fiction,Romance,Womens Fiction,Humor,Fantasy,Fantasy,Adult Fiction"
Girls in Trucks,Katie Crouch,3.13,"19,426","3,024",10,2008,2.84,8730,"Fiction,Womens Fiction,Contemporary,American,Adult,Adult Fiction,Young Adult,Young Adult,Romance,Womens"
Scientology 8-8008: How to Increase Your Spirituality Ability from Zero to Infinity,L. Ron Hubbard,3.46,"67,355","5,817",684,1994,3.02,184,"Religion,Philosophy,Nonfiction"
The Culling: Rise of the Ravagers,Scott Lobdell,3.78,"102,390","8,285","1,229",2013,2.84,295,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Young Adult,Graphic Novels Comics,Science Fiction"
"Eat, Drink and Remarry: Confessions of a Serial Wife",Margo Howard,3.02,198,52,5,2014,2.93,119,"Nonfiction,Autobiography,Biography Memoir"
The Uncoupling,Meg Wolitzer,3.56,"249,464","29,195",35,2011,2.93,8364,"Fiction,Literary Fiction,Contemporary,Audiobook,Adult Fiction,Magical Realism,Novels,Relationships,Womens Fiction,Adult"
Red Rain,R.L. Stine,3.7,"959,456","56,710","1,156",2012,2.91,4923,"Horror,Fiction,Thriller,Fantasy,Fantasy,Mystery,Adult,Fantasy,Adult Fiction,Novels"
The Birthing House,Christopher Ransom,2.72,"6,474","1,145",9,2009,2.47,3603,"Horror,Fiction,Thriller,Fantasy,Fantasy,Mystery,Fantasy,Paranormal,Adult,Thriller"
The Tennis Party,Madeleine Wickham,3.35,"132,755","6,145",16,2011,2.98,5669,"Womens Fiction,Fiction,Romance,Contemporary,European Literature,Audiobook,Humor,Adult,Romance,Womens Fiction"
Rich Again,Anna Maxted,3.55,"42,777","1,249",20,2009,2.59,499,"Womens Fiction,Contemporary,Fiction"
The House on the Cliff,Charlotte Williams,3.05,942,155,19,2014,2.88,631,"Mystery,Fiction,Thriller,Suspense,Contemporary,Gothic,Adult Fiction,Thriller,European Literature,Horror"
You Don't Scare Me,John Farris,3.62,"9,046",900,71,2007,2.88,152,"Horror,Fiction,Thriller,Fantasy"
Tell-All,Chuck Palahniuk,3.84,"1,638,024","74,329",149,2010,2.87,13363,"Fiction,Contemporary,Audiobook,Novels,Humor,Adult Fiction,Thriller,Unfinished,Literature,Literature"
Part-Time Princesses,Monica Gallagher,3.7,"2,349",407,53,2015,2.86,299,"Sequential Art,Young Adult,Sequential Art,Young Adult,Graphic Novels Comics,Fiction,LGBT,Realistic Fiction,Young Adult,Young Adult"
"Attila, King of the Huns: The Man and the Myth",Patrick Howarth,3.1,145,22,17,1995,2.97,114,"History,Biography,Nonfiction"
Love and Death in the Sunshine State: The Story of a Crime,Cutter Wood,2.69,538,117,3,2018,2.69,538,"Crime,Nonfiction,Autobiography,Mystery,Mystery,History,Literary Fiction,Literature,Biography,Unfinished"
"Mister Terrific, Vol. 1: Mind Games",Eric Wallace,3.53,"1,625",172,54,2012,2.78,373,"Sequential Art,Sequential Art,Superheroes,Graphic Novels Comics,Science Fiction,Comics,Comics,Action"
The Little People,John Christopher,3.93,"52,506","3,745",118,1968,2.96,167,"Horror,Fiction,Science Fiction,Fantasy,Adult,German History,Holiday,Science Fiction Fantasy"
The Shack,William Paul Young,3.8,"627,614","37,213",20,2007,3.8,606614,"Fiction,Christian,Christian Fiction,Religion,Spirituality,Religion,Inspirational,Religion,Adult Fiction,Adult"
We All Fall Down,Rose Szabo,3.28,"6,057","1,726",5,2022,2.49,878,"Fantasy,Young Adult,LGBT,LGBT,Fiction,Young Adult,Paranormal,Fantasy,Fantasy,Fantasy"
The Finkler Question,Howard Jacobson,3.24,"35,972","4,978",60,2010,2.81,14990,"Fiction,Literature,Literary Fiction,Contemporary,Literature,European Literature,Novels,Unfinished,Humor,Book Club"
Le Divorce,Diane Johnson,3.48,"21,566","2,555",79,2003,2.94,4686,"Fiction,Womens Fiction,Cultural,Romance,Contemporary,Novels,Humor,Travel,Literary Fiction,Adult Fiction"
Walks with Men,Ann Beattie,3.62,"17,032","1,994",108,2010,2.73,1708,"Fiction,Short Stories,Romance,Contemporary,Novella,New York,Novels,Adult,Adult Fiction,Literature"
The Creator's Map,Emilio Calderón,3.19,"1,005",142,43,2008,2.93,327,"Historical,Fiction,Adventure,Thriller,Cultural,Historical,War,War,Cultural,Mystery"
We Are Totally Normal,Rahul Kanakia,3.44,"11,530","2,881",30,2020,2.66,2997,"LGBT,Young Adult,Contemporary,Romance,LGBT,Fiction,Audiobook,Young Adult,Romance,LGBT"
Daredevil/Batman: Eye for an Eye,D.G. Chichester,4.06,"16,049",416,195,1997,2.73,124,"Sequential Art,Sequential Art,Dc Comics,Superheroes,Superheroes,Comics,Fiction,Graphic Novels Comics,Comics"
Girl Land,Caitlin Flanagan,3.16,"1,281",307,3,2012,2.93,504,"Nonfiction,Feminism,Psychology,Womens,Parenting,Autobiography,Writing,Politics,Sociology,Adult"
"Antigua: The Land of Fairies, Wizards and Heroes",Larry   Ellis,1.63,76,25,3,2007,1.63,76,"Fantasy,Fiction,Young Adult"
Love Transposed,Chelsy Day,2.83,176,13,7,2011,2.83,173,"Romance,Contemporary,Short Stories,Fiction,Novella,Romance,Fantasy,Fantasy"
Thanos vs. Hulk,Jim Starlin,3.95,"101,707","6,767",796,2015,2.61,236,"Sequential Art,Superheroes,Sequential Art,Comics,Comics,Fiction,Graphic Novels Comics"
حكايات الجواري في قصور الخلافة,سعيد أبو العينين,3.47,356,73,11,1998,2.89,114,History
Nasza szkapa,Maria Konopnicka,3.22,"5,578",192,104,2008,2.77,563,"European Literature,Classics,Academic,Short Stories,Fiction,Childrens,Cultural,Canon"
Redemption Prep,Samuel       Miller,3.59,"3,215",554,3,2020,2.77,744,"Mystery,Young Adult,Contemporary,Fiction,School Stories,Thriller,Thriller,Science Fiction,Young Adult,Audiobook"
Amnesia,Peter Carey,3.61,"87,855","7,609",77,2015,2.83,2263,"Fiction,Cultural,Thriller,Contemporary,Mystery,Literary Fiction,Mystery,Audiobook,Novels,Science Fiction"
A Separation,Katie Kitamura,3.44,"40,986","5,235",11,2017,2.99,14726,"Fiction,Literary Fiction,Contemporary,Mystery,Novels,Cultural,Adult Fiction,Adult,Marriage,Audiobook"
"The Eye of Jade (A Mei Wang Mystery, #1)",Diane Wei Liang,3.12,"1,754",332,5,2008,2.97,1077,"Mystery,Cultural,Fiction,Mystery,Cultural,Literature,Adult,Thriller,Mystery,Audiobook"
Ivy Day in the Committee Room,James Joyce,3.75,"475,816","27,859",838,1914,2.8,142,"Short Stories,Fiction,Cultural,Classics,Politics,Literature"
"Rozdzióbią nas kruki, wrony. Utwory powieściowe",Stefan Żeromski,2.89,"22,319","1,081",68,1983,2.95,1088,"Academic,European Literature,Classics,Fiction,Short Stories,Historical,Stories"
Leaving Isn't the Hardest Thing: Essays,Lauren  Hough,3.27,"8,714","1,592",1,2021,3.27,8713,"Autobiography,Nonfiction,Writing,LGBT,LGBT,Audiobook,Religion,Biography,Feminism,Religion"
Kind of a Big Deal,Shannon Hale,3.98,"738,735","76,982",90,2020,2.83,3339,"Young Adult,Fantasy,Contemporary,Fiction,Romance,Magical Realism,Young Adult,Audiobook,Young Adult,Young Adult"
Ten Days in the Hills,Jane Smiley,3.75,"170,262","16,476",99,2007,2.54,1687,"Fiction,Contemporary,Literature,Romance,Unfinished,Literary Fiction,Novels,Adult,Book Club,Womens"
Ludzie bezdomni,Stefan Żeromski,2.89,"22,319","1,081",68,1987,2.91,4429,"Classics,European Literature,Academic,Fiction,Cultural,Academic,Novels,Literature,Historical,Literature"
Slave to Fashion,Rebecca    Campbell,2.68,614,80,3,2005,2.66,468,"Womens Fiction,Fiction,Humor,Couture,Contemporary,European Literature,Romance"
Reus,Annelies Verbeke,3.24,"6,224",565,44,2006,2.83,344,"European Literature,Fiction,Roman,Literature"
Wit zand,Kristien Hemmerechts,3.1,"4,651",356,95,2002,2.84,194,"Literature,Fiction,Roman"
Kathleen Hale Is a Crazy Stalker,Kathleen  Hale,3.22,"8,082","1,896",5,2019,2.07,653,"Nonfiction,Writing,Autobiography,Unfinished,Short Stories,Humor"
"The Last Lost World: Ice Ages, Human Origins, and the Invention of the Pleistocene",Lydia Pyne,3.45,936,212,9,2012,2.93,127,"Science,History,Anthropology,Nonfiction,Environment,Environment,Philosophy,Science"
The Unfinished Land,Greg Bear,3.87,"642,230","19,827",191,2021,2.85,243,"Fantasy,Historical,Historical Fiction,Adventure,Young Adult,Adult,Historical,Science Fiction,Literature,Fiction"
Een zuil van zout,Kristien Hemmerechts,3.1,"4,651",356,95,2004,2.87,340,"European Literature,Roman,Fiction"
Voodoo: Dancing in the Dark,Alan Moore,4.24,"1,681,042","52,899","1,033",1999,2.77,168,"Sequential Art,Sequential Art,Fantasy,Graphic Novels Comics,Horror,Superheroes"
The People We Hate at the Wedding,Grant Ginder,3.05,"17,319","2,493",5,2017,2.85,12018,"Fiction,Contemporary,Womens Fiction,Humor,Audiobook,Adult Fiction,Adult,Family,Romance,LGBT"
The Boy and the Peddler of Death (The Tale of Onora #1),Dylan Saccoccio,1.62,773,146,11,2014,1.54,587,"Fantasy,Fantasy,Novels"
The Searing,John Coyne,3.6,"3,852",392,47,1981,2.88,138,"Horror,Fiction,Science Fiction,Science Fiction Fantasy,Science Fiction"
The Aryan Christ: The Secret Life of Carl Jung,Richard Noll,3.62,243,40,11,1998,3.5,101,"Psychology,History,Biography"
Barbary Shore,Norman Mailer,3.81,"82,275","5,927",198,1997,2.87,535,"Fiction,Novels,Literature,Literature,New York,Literary Fiction,Anthologies,American"
The Cleveland Heights LGBTQ Sci-Fi and Fantasy Role Playing Club,Doug Henderson,3.53,622,128,9,2021,3.06,204,"LGBT,Fantasy,Fiction,Contemporary,Adult,Humor,LGBT,Realistic Fiction,Games"
Mrs. God,Peter Straub,4.02,"466,352","21,219",220,1991,2.48,917,"Horror,Fiction,Fantasy,Gothic,Mystery,Thriller,Adult Fiction,Contemporary,Novella,Fantasy"
Pixu: The Mark of Evil,Gabriel Bá,3.95,"159,619","13,792",130,2009,2.8,519,"Sequential Art,Sequential Art,Horror,Graphic Novels Comics,Sequential Art,Fiction,Comics,Fantasy"
"Hawk & Dove, Volume 1: First Strikes",Rob Liefeld,3.9,"59,021","2,750",439,2012,2.84,462,"Sequential Art,Sequential Art,Superheroes,Comics,Graphic Novels Comics,Comics"
Castle of Lies,Kiersi Burkhart,3.52,984,288,7,2019,2.72,285,"Fantasy,Young Adult,LGBT,Fantasy,Young Adult,Fantasy,Science Fiction Fantasy,Polyamory,LGBT,Romance"
A Midsummer Night's Scream,R.L. Stine,3.7,"959,456","56,710","1,156",2013,2.83,2154,"Horror,Young Adult,Mystery,Thriller,Fantasy,Retellings,Young Adult,Fiction,Romance,Audiobook"
Aliens vs. Predator vs. the Terminator,Mark Schultz,3.94,"23,976","1,974",235,2001,2.94,141,"Sequential Art,Sequential Art,Science Fiction,Comics,Horror,Action,Science Fiction"
Traffic,John Ruskin,3.77,"8,484",772,753,2015,2.88,680,"Classics,Nonfiction,Art,Writing,Literature,Short Stories,European Literature,Philosophy,Politics,Historical"
"Life After Death (The Coldest Winter Ever, #2)",Sister Souljah,4.29,"62,341","5,370",12,2021,2.53,2448,"Fiction,Audiobook,Contemporary,Urban,Womens Fiction,Adult Fiction"
Nothing But Blackened Teeth,Cassandra Khaw,3.17,"40,875","9,436",112,2021,2.74,24111,"Horror,Fiction,Novella,Fantasy,Adult,Fantasy,Audiobook,Paranormal,Short Stories,Cultural"
"Devour (Institut Scientifique, #1)",Melina Morel,2.97,269,44,3,2007,2.84,129,"Romance,Paranormal,Fantasy,Shapeshifters,Fantasy,Romance,Fiction,Fantasy,Fantasy"
After Alice,Gregory Maguire,3.54,"925,141","51,653",95,2015,2.81,11447,"Fantasy,Fiction,Retellings,Historical,Audiobook,Adult,Fantasy,Adult Fiction,Young Adult,Adventure"
Four Beasts in One: The Homo-Cameleopard,Edgar Allan Poe,4.15,"1,539,982","51,512","5,482",1836,2.51,378,"Short Stories,Classics,Fiction,Humor,Horror,Historical,Literature,Literature"
"The Longest Line on the Map: The United States, the Pan-American Highway, and the Quest to Link the Americas",Eric Rutkow,3.93,"1,104",189,2,2019,2.97,185,"History,Nonfiction,Travel,Politics,Science,North American Hi...,Audiobook,History,Cartography"
"Controller (Warmer, #3)",Jesse Kellerman,3.57,"37,973","4,159",20,2018,2.73,1124,"Short Stories,Fiction,Science Fiction,Science Fiction,Audiobook,Science Fiction,Environment,The United States Of America,Novella,Environment"
Stop Feedin' da Boids!,James Sage,3.38,631,183,23,2017,2.89,237,"Childrens,Animals,Childrens,Animals,Fiction,Humor,Food and Drink,Childrens,Childrens"
Even If We Break,Marieke Nijkamp,3.65,"132,036","18,639",34,2020,2.94,4375,"Young Adult,Mystery,Thriller,Horror,LGBT,Thriller,Contemporary,LGBT,Fiction,Suspense"
Marville Volume 1 TPB,Bill Jemas,3.8,"2,368",207,60,2003,1.51,41,"Sequential Art,Superheroes,Sequential Art"
Freewill,Chris    Lynch,3.47,"13,210","3,194",64,2004,2.85,563,"Young Adult,Mystery,Fiction,Realistic Fiction,Young Adult,Health,Contemporary,Magical Realism,Young Adult,Thriller"
"Godin, held",Gustaaf Peek,2.93,"1,107",169,12,2014,2.78,668,"Fiction,Roman,European Literature,Literature,Love,Novels"
The Old English Baron,Clara Reeve,3.04,795,109,50,2004,2.97,686,"Gothic,Classics,Fiction,Horror,Literature,European Literature,Literature,Mystery,Horror,Romance"
Snark: A Polemic in Seven Fits,David Denby,3.57,"2,730",466,16,2009,2.75,428,"Nonfiction,Humanities,Cultural,Criticism,Sociology,Humor,Audiobook,Philosophy,Culture,Language"
The Measures Between Us,Ethan Hauser,2.92,250,50,3,2013,2.86,242,"Fiction,Unfinished"
Motherland,Amy Sohn,3.56,"13,499","1,269",18,2012,2.86,1114,"Fiction,Womens Fiction,Contemporary,New York,Adult Fiction,Adult,Parenting,Novels,Relationships,Family"
The Deceased,Tom Piccirilli,3.76,"18,025","2,216",178,2000,2.83,139,"Horror,Fiction"
Moon People (Moon People #1),Dale M. Courtney,2.69,197,70,3,2008,2.52,167,"Science Fiction,Fiction"
Wisenheimer: A Childhood Subject to Debate,Mark Oppenheimer,3.88,890,184,19,2010,2.93,127,"Autobiography,Nonfiction,Biography,Biography Memoir,Education,Biography"
القوس والفراشة,محمد الأشعري,3.02,648,135,11,2011,2.98,572,"Fiction,Novels,Northern Africa,Moroccan,Cultural,Literature"
Alison Wonderland,Helen  Smith,2.98,"4,323",981,20,2010,2.46,1579,"Fiction,Mystery,Fantasy,Womens Fiction,European Literature,Contemporary,Humor,Romance,Literary Fiction,Fantasy"
The Receptionist: An Education at The New Yorker,Janet Groth,2.6,"1,963",470,9,2012,2.55,1901,"Autobiography,Nonfiction,Biography,New York,Biography,History,Adult,Biography Memoir,Unfinished,Literature"
The Seasons,Kristijonas Donelaitis,2.64,821,35,6,1967,2.64,822,"Poetry,Classics,Fiction,Academic,Academic,Epic"
X-Tinction Agenda: Warzones!,Marc Guggenheim,3.85,"52,855","4,085",535,2016,2.72,167,"Sequential Art,Superheroes,Sequential Art,Comics,Marvel,Comics"
Get Up and Do It!: Essential Steps to Achieve Your Goals,Beechy Colclough,2.99,141,25,3,2004,2.99,139,"Nonfiction,Self Help,Audiobook,Self Help"
Solstice,Lorence Alison,2.93,368,112,3,2020,2.93,368,"Horror,Young Adult,Mystery,Thriller,Fiction,Contemporary,Adventure,Adventure,Humor,Young Adult"
The Third Translation,Matt Bondurant,3.58,"6,388",851,7,2005,2.58,474,"Fiction,Mystery,Thriller,Northern Africa,Historical,History,Thriller,Archaeology,Adult Fiction,Literary Fiction"
"Baldur's Gate II: Shadows of Amn (Forgotten Realms: Baldur's Gate, #2)",Philip Athans,3.88,"19,120",678,53,2000,2.7,517,"Dungeons and Dragons,Fantasy,Fiction,Role Playing Games,Adventure,Audiobook,Fantasy,Sports and Games,Games"
Lisa's Adem,Karel Glastra van Loon,3.28,"5,210",269,16,2003,2.81,469,"Fiction,Roman,Contemporary,European Literature"
Colors Demonic and Divine: Shades of Meaning in the Middle Ages and After,Herman Pleij,3.29,749,105,46,2004,3.04,141,"History,Nonfiction,Art,Historical,Historical"
The Second Shepherd's Play,Wakefield Master,2.84,913,69,3,2012,2.77,784,"Plays,Classics,Drama,Academic,Plays,Historical,Academic,Literature,Academic,Literature"
The Break Up,Charlotte Barnes,3.66,"1,260",424,21,2022,2.7,246,"LGBT,LGBT,LGBT,Contemporary,Adult,Romance,Audiobook,Realistic Fiction,LGBT"
The Butterflies of Grand Canyon,Margaret Erhart,2.93,321,75,7,2009,2.59,196,"Fiction,Mystery,Historical,Romance"
Penelope,Rebecca Harrington,2.77,"6,486","1,361",5,2012,2.67,2896,"Fiction,Contemporary,Young Adult,Academic,Womens Fiction,New Adult,Humor,Adult Fiction,Adult,Novels"
Beautiful Broken Girls,Kim  Savage,3.16,"4,499","1,088",3,2017,2.7,854,"Young Adult,Mystery,Contemporary,Thriller,Thriller,Fiction,Young Adult,Suspense,Magical Realism,Young Adult"
A Quiet Adjustment,Benjamin Markovits,3.15,"2,005",363,18,2008,2.8,144,"Fiction,Historical,Historical,Historical,European Literature,Literature,Contemporary,Literary Fiction"
يوسف والرداء,إبراهيم أصلان,3.51,"13,316","2,355",12,2005,2.49,633,"Short Stories,Literature"
"Lightlark (Lightlark, #1)",Alex Aster,3.54,"13,838","3,501",5,2022,3.49,12079,"Fantasy,Young Adult,Romance,Young Adult,Fiction,Romance,Fantasy,Fantasy,Science Fiction,Audiobook"
The Ladies' Lending Library,Janice Kulyk Keefer,2.77,835,162,22,2007,2.59,669,"Fiction,Historical,Cultural,Womens Fiction,Adult Fiction,Unfinished,Writing,Womens Fiction,Adult,Own"
O: A Presidential Novel,Anonymous,4.13,"1,541,394","90,420","201,751",2011,2.45,251,"Fiction,Politics,Historical"
Pobre Ana,Blaine Ray,2.89,"2,611",837,46,1999,2.72,905,"Academic,European Literature,Academic,Cultural,Realistic Fiction,Fiction,European Literature,Humanities,Young Adult"
All-New Captain America: Fear Him,Dennis Hopeless,3.73,"41,367","4,854",372,2015,2.7,189,"Sequential Art,Superheroes,Sequential Art,Comics,Fiction,Graphic Novels Comics,Comics"
The Spy Who Jumped Off the Screen,Thomas Caplan,2.75,388,118,4,2012,2.74,376,"Fiction,Thriller,Spy Thriller,Mystery,Thriller,Adventure,Unfinished,Thriller"
Mrs Hartley And The Growth Centre,Philippa Gregory,3.93,"1,632,026","84,236",112,1992,2.69,1104,"Fiction,Historical,Contemporary,Romance,Adult,Unfinished,Womens Fiction,Historical,Humor"
A Real Friend,Jennifer Wolfthal,2.25,103,61,1,2020,2.25,103,"Childrens,Science Fiction,Plays,Childrens"
"Batman: The Blue, the Grey, and the Bat",Elliot S. Maggin,4.21,"65,669","2,052",175,1992,2.96,161,"Sequential Art,Dc Comics,Sequential Art,Superheroes,Comics,Historical,Comics,Westerns,Graphic Novels Comics,Military History"
Hiding in Plain Sight,Nuruddin Farah,3.41,"5,036",772,25,2014,2.87,632,"Fiction,Cultural,Eastern Africa,Literature,Contemporary,LGBT,Adult Fiction,Novels"
The Last to Die,Kelly  Garrett,3.2,"3,001",592,3,2019,2.96,1813,"Mystery,Young Adult,Thriller,Thriller,Fiction,Horror,Mystery,Mystery,Suspense,Young Adult"
Batman/Spawn: War Devil,Doug Moench,3.88,"82,226","4,887","1,324",1994,2.66,320,"Sequential Art,Sequential Art,Dc Comics,Comics,Comics,Superheroes,Graphic Novels Comics,Fiction"
Nad Niemnem,Eliza Orzeszkowa,3.04,"6,922",401,94,2007,2.98,2406,"European Literature,Classics,Academic,Fiction,Cultural,Historical,Literature,Literature,Romance,Drama"
Delusion,Laura L. Sullivan,3.77,"12,343","1,766",35,2013,2.93,174,"Historical,Fantasy,Young Adult,Romance,Historical,War,Fiction,Young Adult,War,Historical Fiction"
Bunker,Andrea Maria Schenkel,3.19,"3,746",502,13,2009,2.5,211,"Mystery,Thriller,Fiction,Roman,Mystery,European Literature,Novella"
Mystification,Edgar Allan Poe,4.15,"1,539,993","51,513","5,482",2008,2.59,223,"Short Stories,Classics,Literature,Horror,Fiction,Gothic,Literature,Humor"
Get a Life,Nadine Gordimer,3.57,"31,847","3,517",225,2006,2.95,613,"Fiction,Cultural,Southern Africa,Nobel Prize,Literary Fiction,Short Stories,Family,Literature"
Who Is Rich?,Matthew Klam,3.36,"3,021",506,9,2017,2.98,1589,"Fiction,Contemporary,Novels,Literary Fiction,Adult Fiction,Literature,Humor,Literature,Unfinished"
Landor's Cottage,Edgar Allan Poe,4.15,"1,539,993","51,513","5,482",1949,2.46,234,"Short Stories,Fiction,Classics,Horror,Literature"
Zorba the Hutt's Revenge (Star Wars: Jedi Prince #3),Paul  Davids,2.89,"4,289",253,14,1992,2.77,653,"Media Tie In,Science Fiction,Fiction,Fantasy,Young Adult,Childrens,Childrens,Childrens,Novels,Fantasy"
Game Runner,B.R. Collins,3.34,"1,103",202,8,2011,2.84,160,"Science Fiction,Young Adult,Science Fiction,Fiction"
Indigo,Charlaine Harris,3.94,"3,519,871","139,555",197,2017,2.86,1018,"Fantasy,Fantasy,Mystery,Fantasy,Fiction,Horror,Anthologies,Science Fiction Fantasy,Audiobook,Fantasy"
Second-Hand Princess,Lorraine J. Anderson,3.11,408,51,21,2011,2.63,252,"Fantasy,Fantasy,Short Stories,Historical,Paranormal,Romance,Fiction"
Syzyfowe prace,Stefan Żeromski,2.89,"22,319","1,081",68,2000,2.4,5520,"European Literature,Academic,Classics,Fiction,Historical,Cultural,Academic,Literature,Novels,Audiobook"
The Best Laid Plans,Lynn Edelman Schnurnberger,3.35,"3,582",381,9,2011,2.66,383,"Womens Fiction,Fiction,Audiobook"
The Divided States of Hysteria,Howard Chaykin,3.78,"55,051","4,385",693,2018,2.63,142,"Sequential Art,Sequential Art,Fiction,Mystery,Graphic Novels Comics,Comics,Politics"
The Catsitters,James Wolcott,3.18,592,57,11,2002,2.93,190,"Fiction,Animals,Humor,Novels"
A Bigamist's Daughter,Alice McDermott,3.6,"56,318","6,966",23,2005,2.96,647,"Fiction,Contemporary,Novels,Literary Fiction,Relationships"
