,Title,Author,Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,Genres
358,The Wind-Up Bird Chronicle (Paperback),Haruki Murakami,3.95,3150997,247614,large,new,4.15,large,"Fiction,Magical Realism,Cultural,Asian Literature,Fantasy,Contemporary,Novels,Literature,Mystery,Literary Fiction"
359,"The Year of the Witching (Bethel, #1)",Alexis Henderson,3.8,33716,6210,very small,new,3.81,large,"Fantasy,Horror,Fiction,Historical,Paranormal,Fantasy,Young Adult,Historical,Adult,Feminism"
360,All Good People Here (Hardcover),Ashley Flowers,3.91,59531,7574,very small,new,3.91,large,"Mystery,Thriller,Fiction,Thriller,Audiobook,Mystery,Suspense,Adult,Contemporary,Adult Fiction"
361,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.09,1301868,128782,small,new,4.24,large,"Science Fiction,Fiction,Young Adult,Fantasy,Science Fiction,Audiobook,Adventure,Science Fiction Fantasy,Adult,Science Fiction"
362,Into Thin Air: A Personal Account of the Mount Everest Disaster (Paperback),Jon Krakauer,4.06,1816833,69478,small,new,4.22,large,"Nonfiction,Adventure,Autobiography,Travel,Biography,History,Adventure,Sports,Biography Memoir,Sports"
363,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.17,1701350,237349,medium,new,4.07,large,"Fantasy,Fiction,Young Adult,Fantasy,Adult,Audiobook,Adventure,Historical,Fantasy,Young Adult"
364,All the Bright Places (Hardcover),Jennifer Niven,4.06,624153,60559,small,new,4.14,large,"Young Adult,Romance,Contemporary,Fiction,Health,Mental Health,Realistic Fiction,Audiobook,Young Adult,Young Adult"
365,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,4.5,1749722,210904,small,new,4.52,large,"Sequential Art,Romance,LGBT,Young Adult,Contemporary,Sequential Art,LGBT,Fiction,LGBT,Graphic Novels Comics"
366,Dead Poets Society (Paperback),N.H. Kleinbaum,4.2,79223,5246,small,new,4.2,large,"Classics,Fiction,Young Adult,Contemporary,Novels,Poetry,Drama,Academic,Literature,Media Tie In"
367,Women Who Run With the Wolves (Paperback),Clarissa Pinkola Estés,4.15,74261,5737,medium,new,4.13,large,"Nonfiction,Feminism,Psychology,Spirituality,Fantasy,Self Help,Womens,Philosophy,Gender,Audiobook"
368,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger,3.8,273861,21575,small,new,3.81,large,"Young Adult,Romance,Contemporary,Fiction,Womens Fiction,Young Adult,Realistic Fiction,Young Adult,Romance,Young Adult"
369,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.01,3903640,172963,average,new,4.04,large,"Mystery,Fiction,Humor,Womens Fiction,Romance,Mystery,Thriller,Contemporary,Adult,Audiobook"
370,The Butterflies of Grand Canyon,Margaret Erhart,2.93,321,75,very small,new,2.59,small,"Fiction,Mystery,Historical,Romance"
371,Milk and Honey (Paperback),Rupi Kaur,4.05,960561,63189,small,new,4.01,large,"Poetry,Feminism,Nonfiction,Contemporary,Adult,Romance,Health,Audiobook,Cultural,Womens"
372,Hiding in Plain Sight,Nuruddin Farah,3.41,5036,772,small,new,2.87,small,"Fiction,Cultural,Eastern Africa,Literature,Contemporary,LGBT,Adult Fiction,Novels"
373,"The Walking Dead, Vol. 1: Days Gone Bye (Paperback)",Robert Kirkman,4.24,1240541,58077,large,new,4.27,large,"Sequential Art,Sequential Art,Horror,Horror,Fiction,Graphic Novels Comics,Comics,Apocalyptic,Science Fiction,Fantasy"
374,The Marvelous Misadventures of Ingrid Winter (Ingrid Winter Misadventure #1),Janne S. Drangsholt,3.07,7100,770,very small,new,2.97,medium,"Fiction,Humor,Contemporary,Womens Fiction,Novels,Family,Audiobook,Mystery,Humor,Literary Fiction"
375,Lisa's Adem,Karel Glastra van Loon,3.28,5210,269,small,new,2.81,small,"Fiction,Roman,Contemporary,European Literature"
376,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.35,10073413,175255,large,old,4.28,large,"Fantasy,Classics,Fiction,Adventure,Young Adult,Science Fiction Fantasy,Fantasy,Childrens,Fantasy,Novels"
377,Safe Haven (Kindle Edition),Nicholas Sparks,4.1,6336902,194782,average,new,4.21,large,"Romance,Fiction,Womens Fiction,Contemporary,Adult,Romance,Adult Fiction,Drama,Love,Audiobook"
378,Three Women (Hardcover),Lisa Taddeo,3.71,152621,14196,small,new,3.71,large,"Nonfiction,Feminism,Audiobook,Contemporary,Womens,Autobiography,Biography,Adult,Sexuality,Book Club"
379,Paper Towns (Paperback),John Green,4.0,8873634,413752,small,new,3.73,large,"Young Adult,Fiction,Contemporary,Romance,Mystery,Realistic Fiction,Young Adult,Young Adult,Adventure,Young Adult"
380,De leesclub,Renate Dorrestein,3.35,13149,1052,medium,new,2.91,small,"Fiction,Humor,European Literature,Novels,Academic,Book Club,Roman"
381,Dark Places (Hardcover),Gillian Flynn,4.06,4699849,273616,small,new,3.95,large,"Mystery,Fiction,Thriller,Thriller,Mystery,Suspense,Adult,Audiobook,Horror,Contemporary"
382,The Chemistry of Tears,Peter Carey,3.61,87855,7609,medium,new,2.96,medium,"Fiction,Historical,Contemporary,Literary Fiction,Cultural,Novels,Audiobook,Historical,European Literature,Literature"
383,House of Leaves (Paperback),Mark Z. Danielewski,4.04,173174,17229,small,new,4.09,large,"Horror,Fiction,Fantasy,Mystery,Thriller,Contemporary,Novels,Adult,Literature,Fantasy"
384,Cyber Cinderella,Christina Hopkinson,3.13,1889,255,small,new,2.72,small,"Womens Fiction,Fiction,Computers,Fantasy,Adult,Romance,European Literature"
385,Ariadne (Hardcover),Jennifer Saint,3.81,84651,12490,very small,new,3.82,large,"Fantasy,Fantasy,Fiction,Mythology,Historical,Retellings,Adult,Historical,Romance,Audiobook"
386,Redemption Prep,Samuel       Miller,3.59,3215,554,very small,new,2.77,small,"Mystery,Young Adult,Contemporary,Fiction,School Stories,Thriller,Thriller,Science Fiction,Young Adult,Audiobook"
387,Our Missing Hearts (Hardcover),Celeste Ng,4.01,1539049,115897,small,new,3.9,large,"Fiction,Science Fiction,Contemporary,Audiobook,Literary Fiction,Science Fiction,Adult,Adult Fiction,Mystery,Thriller"
388,"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence (Hardcover)",Michael Pollan,4.12,613429,47259,medium,new,4.26,large,"Nonfiction,Science,Psychology,Health,Philosophy,Self Help,Audiobook,Spirituality,History,Health"
389,Made to Stick: Why Some Ideas Survive and Others Die (Hardcover),Chip Heath,4.0,174487,9394,small,new,3.97,large,"Business,Nonfiction,Psychology,Leadership,Language,Self Help,Design,Business,Buisness,Business"
390,The Midnight Library (Hardcover),Matt Haig,4.01,1668194,187984,medium,new,4.03,large,"Fiction,Fantasy,Contemporary,Audiobook,Magical Realism,Adult,Science Fiction,Health,Adult Fiction,Book Club"
391,How High We Go in the Dark (Hardcover),Sequoia Nagamatsu,3.89,23768,4465,very small,new,3.89,medium,"Science Fiction,Fiction,Science Fiction,Fantasy,Short Stories,Audiobook,Adult,Speculative Fiction,Literary Fiction,Science Fiction Fantasy"
392,A Little Princess (Paperback),Frances Hodgson Burnett,4.16,1422593,38143,large,old,4.21,large,"Classics,Fiction,Childrens,Young Adult,Historical,Childrens,Historical,Literature,Audiobook,Childrens"
393,The Turn of the Key (Hardcover),Ruth Ware,3.76,1586324,141424,small,new,3.94,large,"Mystery,Thriller,Fiction,Thriller,Audiobook,Adult,Suspense,Horror,Contemporary,Adult Fiction"
394,The Immortalists (Hardcover),Chloe  Benjamin,3.71,193532,19225,very small,new,3.71,large,"Fiction,Fantasy,Historical,Contemporary,Audiobook,Magical Realism,Literary Fiction,Adult,Adult Fiction,Book Club"
395,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.16,4926126,186956,large,old,4.0,large,"Fantasy,Fiction,Humor,Humor,Science Fiction Fantasy,Science Fiction,Fantasy,Adventure,Fantasy,Novels"
396,"These Hollow Vows (These Hollow Vows, #1)",Lexi Ryan,4.1,185334,21935,medium,new,4.06,large,"Fantasy,Romance,Young Adult,Fairies,Young Adult,Romance,Fiction,Fantasy,Fantasy,Paranormal"
397,The Transition of Juan Romero,H.P. Lovecraft,4.0,692989,44204,large,old,2.98,medium,"Horror,Horror,Short Stories,Fiction,Fantasy,Fantasy,Literature,Classics,Lovecraftian,Novels"
398,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,4.3,934631,63073,small,new,4.28,large,"Historical,Fiction,Historical,Audiobook,War,World War II,Romance,War,Adult,Book Club"
399,Batman/Spawn: War Devil,Doug Moench,3.88,82226,4887,large,new,2.66,small,"Sequential Art,Sequential Art,Dc Comics,Comics,Comics,Superheroes,Graphic Novels Comics,Fiction"
400,Stay Up with Hugo Best,Erin Somers,2.91,2586,435,very small,new,2.91,medium,"Fiction,Contemporary,Humor,Audiobook,Adult,Literary Fiction,New York,Adult Fiction,Novels,New Adult"
401,Uprooted (Hardcover),Naomi Novik,4.06,867228,97459,medium,new,4.05,large,"Fantasy,Young Adult,Fiction,Romance,Fantasy,Fantasy,Retellings,Fantasy,Adult,Audiobook"
402,"The Last Lost World: Ice Ages, Human Origins, and the Invention of the Pleistocene",Lydia Pyne,3.45,936,212,very small,new,2.93,small,"Science,History,Anthropology,Nonfiction,Environment,Environment,Philosophy,Science"
403,"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,4.04,394534,58005,small,new,4.02,large,"Fantasy,Young Adult,Romance,Retellings,Young Adult,Fiction,Fantasy,Fantasy,Romance,Fantasy"
404,We Were Liars (Kindle Edition),E. Lockhart,3.69,1161168,118207,small,new,3.72,large,"Young Adult,Mystery,Contemporary,Fiction,Romance,Thriller,Thriller,Realistic Fiction,Audiobook,Young Adult"
405,The Woman in Cabin 10 (Hardcover),Ruth Ware,3.76,1586305,141423,small,new,3.74,large,"Mystery,Thriller,Fiction,Thriller,Suspense,Audiobook,Adult,Mystery,Contemporary,Adult Fiction"
406,A Room with a View (Paperback),E.M. Forster,3.88,434834,24629,large,old,3.9,large,"Classics,Fiction,Romance,Historical,Cultural,Literature,European Literature,Literature,Novels,Audiobook"
407,American Nerd: The Story of My People,Benjamin Nugent,3.15,3497,612,very small,new,2.96,medium,"Nonfiction,Autobiography,Sociology,Culture,Biography,Cultural,History,Humor,Psychology,Writing"
408,The Untethered Soul: The Journey Beyond Yourself (Paperback),Michael A. Singer,4.21,97944,7634,small,new,4.22,large,"Self Help,Nonfiction,Spirituality,Philosophy,Psychology,Self Help,Audiobook,Inspirational,Health,Religion"
409,The Red Tent (Hardcover),Anita Diamant,4.11,691348,34837,small,new,4.19,large,"Historical,Fiction,Historical,Religion,Book Club,Feminism,Adult,Adult Fiction,Womens,Novels"
410,Crying in H Mart (Hardcover),Michelle Zauner,4.29,223826,26634,very small,new,4.29,large,"Nonfiction,Autobiography,Audiobook,Biography,Food and Drink,Biography Memoir,Adult,Music,Biography,Contemporary"
411,A Bigamist's Daughter,Alice McDermott,3.6,56318,6966,small,new,2.96,small,"Fiction,Contemporary,Novels,Literary Fiction,Relationships"
412,"Men Are from Mars, Women Are from Venus (Paperback)",John  Gray,3.61,206622,8875,average,new,3.58,large,"Nonfiction,Self Help,Psychology,Relationships,Self Help,Marriage,Philosophy,Romance,Unfinished,Audiobook"
413,The Adventures of Tom Sawyer (Paperback),Mark Twain,3.87,2625117,58463,large,old,3.92,large,"Classics,Fiction,Adventure,Historical,Young Adult,Literature,Childrens,Academic,Novels,Literature"
414,Trigger Warning,William W. Johnstone,4.26,155660,8340,large,new,1.93,small,"Fiction,Thriller"
415,Alice in Wonderland (Hardcover),Jane Carruth,4.03,386950,5605,average,old,4.03,large,"Classics,Fantasy,Fiction,Childrens,Young Adult,Adventure,Literature,Novels,Childrens,Classics"
416,A Bad Bride's Tale,Polly Williams,3.41,4269,485,small,new,2.96,small,"Womens Fiction,Fiction,Romance,Adult,Adult Fiction,Novels,European Literature"
417,Swan,Naomi Campbell,4.04,2065,223,small,new,2.69,small,"Womens Fiction,Fiction,Mystery,Mystery,Contemporary,Thriller,Marriage,Romance"
418,A Thousand Boy Kisses (ebook),Tillie Cole,4.21,455903,57507,medium,new,4.16,large,"Romance,Young Adult,Contemporary,Romance,Fiction,Young Adult,Young Adult,New Adult,Audiobook,Love"
419,The Institute (Hardcover),Stephen King,4.06,17485048,775865,large,new,4.2,large,"Horror,Fiction,Thriller,Science Fiction,Fantasy,Audiobook,Mystery,Fantasy,Thriller,Adult"
420,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.34,11197382,446246,average,new,4.32,large,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Mythology,Childrens,Fantasy,Young Adult"
421,Bad Heir Day,Wendy  Holden,3.26,16127,1349,small,new,3.0,medium,"Womens Fiction,Fiction,Romance,Contemporary,European Literature,Humor,Romance,Novels,Humor,Adult"
422,Penelope,Rebecca Harrington,2.77,6486,1361,very small,new,2.67,medium,"Fiction,Contemporary,Young Adult,Academic,Womens Fiction,New Adult,Humor,Adult Fiction,Adult,Novels"
423,Commonwealth (Hardcover),Ann Patchett,3.95,1225257,113662,medium,new,3.82,large,"Fiction,Literary Fiction,Audiobook,Historical,Contemporary,Family,Adult Fiction,Book Club,Adult,Novels"
424,As I Lay Dying (Paperback),William Faulkner,3.84,564338,31928,large,old,3.72,large,"Classics,Fiction,Literature,Novels,Literature,Academic,Gothic,Literary Fiction,Literature,American"
425,The Perfect Marriage (Paperback),Jeneva Rose,4.02,195216,16384,very small,new,4.04,large,"Thriller,Mystery,Thriller,Fiction,Audiobook,Suspense,Mystery,Adult,Thriller,Contemporary"
426,The Washingtonienne,Jessica Cutler,2.84,1579,307,very small,new,2.84,medium,"Womens Fiction,Fiction,Politics,Humor,Adult Fiction,Sexuality,Sexuality,Contemporary"
427,When Breath Becomes Air (Kindle Edition),Paul Kalanithi,4.39,561834,42955,very small,new,4.39,large,"Nonfiction,Autobiography,Biography,Health,Medical,Audiobook,Biography,Biography Memoir,Philosophy,Science"
428,Invisible Man (Paperback),Ralph Ellison,3.9,183821,8218,medium,old,3.9,large,"Classics,Fiction,Literature,Race,Cultural,Historical,Novels,Academic,Literature,Literary Fiction"
429,The Princess Bride (Paperback),William Goldman,4.25,898235,25669,medium,old,4.26,large,"Fantasy,Classics,Fiction,Romance,Humor,Young Adult,Adventure,Humor,Science Fiction Fantasy,Fantasy"
430,"I Want to Tell You: My Response to Your Letters, Your Messages, Your Questions",O.J. Simpson,3.25,8649,1205,very small,new,2.31,small,"Nonfiction,Crime,Biography,Autobiography,Biography"
431,"Jade City (The Green Bone Saga, #1)",Fonda Lee,4.27,72685,14033,small,new,4.11,large,"Fantasy,Fantasy,Fiction,Adult,Science Fiction,Fantasy,Mystery,Audiobook,Science Fiction Fantasy,Fantasy"
432,Malled: My Unintentional Career in Retail,Caitlin Kelly,3.71,7637,2041,average,new,2.63,small,"Nonfiction,Autobiography,Business,Biography Memoir,Biography,Adult,Humor,Social Science,Cultural,Unfinished"
433,Bollywood Nights,Shobhaa Dé,2.76,4915,474,small,new,2.65,small,"Fiction,Cultural,Womens Fiction,Romance,Asian Literature,Cultural,Contemporary,Literature"
434,The Count of Monte Cristo (Paperback),Alexandre Dumas,4.2,1398021,46649,large,old,4.28,large,"Classics,Fiction,Historical,Adventure,Literature,Historical,Cultural,Novels,Classics,Romance"
435,The Prince (Paperback),Niccolò Machiavelli,3.84,337017,11915,large,old,3.83,large,"Classics,Philosophy,Nonfiction,Politics,History,Literature,Politics,European Literature,Cultural,Academic"
436,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,4.04,3486398,218504,large,new,4.2,large,"Fiction,Science Fiction,Science Fiction,Feminism,Audiobook,Classics,Adult,Cultural,Speculative Fiction,Literary Fiction"
437,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,4.17,3659317,407612,medium,new,3.95,large,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,Adventure,Audiobook,Fantasy"
438,The Memory Keeper's Daughter (Paperback),Kim Edwards,3.68,603794,22665,small,new,3.69,large,"Fiction,Contemporary,Historical,Adult Fiction,Adult,Book Club,Drama,Womens Fiction,Novels,Family"
439,Hamlet (Paperback),William Shakespeare,3.86,7295810,154517,large,old,4.03,large,"Classics,Plays,Fiction,Drama,Academic,Literature,Plays,Academic,Poetry,Young Adult"
440,Pretty Girls (Paperback),Karin Slaughter,4.07,1522336,109106,average,new,4.03,large,"Thriller,Mystery,Fiction,Thriller,Audiobook,Mystery,Suspense,Horror,Adult,Contemporary"
441,In Five Years (Hardcover),Rebecca Serle,3.75,500043,49618,small,new,3.81,large,"Romance,Fiction,Contemporary,Audiobook,Womens Fiction,Adult,Magical Realism,Adult Fiction,Science Fiction,Romance"
442,The Girl on the Train (Hardcover),Paula Hawkins,3.89,3112958,158294,small,new,3.95,large,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Audiobook,Adult,Adult Fiction"
443,After Alice,Gregory Maguire,3.54,925141,51653,medium,new,2.81,medium,"Fantasy,Fiction,Retellings,Historical,Audiobook,Adult,Fantasy,Adult Fiction,Young Adult,Adventure"
444,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,3.95,351927,57414,small,new,3.84,large,"Romance,Contemporary,Fiction,Adult,Romance,Audiobook,Womens Fiction,Disability,Adult Fiction,Humor"
445,"Watership Down (Watership Down, #1)",Richard  Adams,4.06,495105,18719,medium,old,4.07,large,"Classics,Fiction,Fantasy,Young Adult,Animals,Childrens,Adventure,Literature,Novels,Audiobook"
446,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.24,533487,35125,small,new,4.29,large,"Fantasy,Fiction,Adventure,Adult,Fantasy,Fantasy,Audiobook,Science Fiction Fantasy,Mystery,Mystery"
447,"1st to Die (Women's Murder Club, #1)",James Patterson,3.99,7545443,398192,large,new,4.09,large,"Mystery,Fiction,Thriller,Mystery,Thriller,Suspense,Mystery,Audiobook,Adult,Mystery"
448,The Spy Who Jumped Off the Screen,Thomas Caplan,2.75,388,118,very small,new,2.74,small,"Fiction,Thriller,Spy Thriller,Mystery,Thriller,Adventure,Unfinished,Thriller"
449,One by One (Hardcover),Ruth Ware,3.76,1586352,141425,small,new,3.73,large,"Mystery,Thriller,Fiction,Thriller,Audiobook,Suspense,Adult,Contemporary,Mystery,Adult Fiction"
450,Start with Why: How Great Leaders Inspire Everyone to Take Action (Hardcover),Simon Sinek,4.09,262016,14716,medium,new,4.1,large,"Business,Leadership,Nonfiction,Self Help,Self Help,Business,Psychology,Audiobook,Business,Buisness"
451,The Four Winds (Hardcover),Kristin Hannah,4.31,3556418,296617,medium,new,4.3,large,"Historical,Fiction,Audiobook,Historical,Adult,Adult Fiction,Family,Book Club,Literary Fiction,Novels"
452,House of Hollow (Hardcover),Krystal Sutherland,3.97,81592,14407,very small,new,4.06,large,"Fantasy,Horror,Young Adult,Mystery,Thriller,Fiction,Fantasy,Magical Realism,Thriller,Young Adult"
453,Nad Niemnem,Eliza Orzeszkowa,3.04,6922,401,medium,new,2.98,medium,"European Literature,Classics,Academic,Fiction,Cultural,Historical,Literature,Literature,Romance,Drama"
454,Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.99,2966069,120425,large,old,3.97,large,"Classics,Fiction,Science Fiction,Science Fiction,Academic,Literature,Novels,Fantasy,Audiobook,Adult"
455,Mrs Hartley And The Growth Centre,Philippa Gregory,3.93,1632026,84236,average,new,2.69,medium,"Fiction,Historical,Contemporary,Romance,Adult,Unfinished,Womens Fiction,Historical,Humor"
456,"Unbroken: A World War II Story of Survival, Resilience and Redemption (Hardcover)",Laura Hillenbrand,4.35,1045152,54041,very small,new,4.37,large,"Nonfiction,History,Biography,War,War,Historical,Audiobook,Autobiography,War,Biography Memoir"
457,Being Mortal: Medicine and What Matters in the End (Hardcover),Atul Gawande,4.33,307997,29215,small,new,4.47,large,"Nonfiction,Health,Science,Health,Medical,Philosophy,Audiobook,Death,Psychology,Autobiography"
458,The Occasional Virgin,Hanan Al-Shaykh,3.55,10406,1271,small,new,2.47,small,"Fiction,Contemporary,Novels,Religion,Religion,Cultural"
459,James and the Giant Peach (Hardcover),Roald Dahl,4.14,3884953,114661,large,old,4.02,large,"Childrens,Fantasy,Fiction,Classics,Young Adult,Childrens,Adventure,Childrens,Childrens,Humor"
460,"Everything, Everything (Hardcover)",Nicola Yoon,3.99,922896,92982,small,new,4.0,large,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Young Adult,Young Adult,Young Adult"
461,Final Girls (Hardcover),Riley Sager,3.87,711749,95191,very small,new,3.84,large,"Thriller,Mystery,Horror,Fiction,Thriller,Adult,Audiobook,Suspense,Mystery,Contemporary"
462,Uninvited,Amanda Marrone,3.45,13454,1126,very small,new,2.94,medium,"Paranormal,Young Adult,Fantasy,Fantasy,Romance,Fantasy,Young Adult,Horror,Fiction,Romance"
463,My Sister's Keeper (Paperback),Jodi Picoult,3.99,4447168,273760,medium,new,4.09,large,"Fiction,Contemporary,Womens Fiction,Young Adult,Drama,Adult,Adult Fiction,Realistic Fiction,Family,Novels"
464,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.36,8084822,673308,medium,new,4.19,large,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,New Adult,Fairies,Adventure"
465,The Naked Truth: The Real Story Behind the Real Housewife of New Jersey--In Her Own Words,Danielle Staub,2.4,280,44,very small,new,2.4,small,"Biography,Autobiography,Nonfiction,Biography Memoir,Biography"
466,A Promised Land (Kindle Edition),Barack Obama,4.04,592643,34941,average,new,4.35,large,"Nonfiction,Biography,Autobiography,Politics,Audiobook,History,Biography,Biography Memoir,Politics,Adult"
467,Serenade,Leon de Winter,3.45,9049,414,small,new,2.92,small,"Literature,Fiction,European Literature,Roman,Music"
468,Batman: Digital Justice,Pepe Moreno,2.87,291,45,small,new,2.73,small,"Sequential Art,Sequential Art,Dc Comics,Superheroes,Comics,Art,Science Fiction,Graphic Novels Comics"
469,Once There Were Wolves (Hardcover),Charlotte McConaghy,4.15,114049,16133,small,new,4.14,large,"Fiction,Mystery,Contemporary,Thriller,Thriller,Audiobook,Literary Fiction,Environment,Cultural,Animals"
470,Iago,David Snodin,3.26,345,92,very small,new,2.98,small,"Historical,Fiction,Historical,Mystery,Cultural,Novels,Adult,Retellings"
471,Without Merit (Kindle Edition),Colleen Hoover,4.24,9640004,874642,medium,new,3.83,large,"Romance,Young Adult,Contemporary,Fiction,New Adult,Audiobook,Health,Romance,Family,Mental Health"
472,The Mask of Gold,Alan A. McLean,1.99,1318,200,very small,new,1.99,medium,"Novels,Academic,Mystery,Literature,Fiction,Adventure,Short Stories,Academic"
473,The Skull and the Nightingale,Michael Irwin,3.6,1799,265,small,new,2.86,small,"Historical,Fiction,Historical,European Literature,Horror,Literature,Adult,Literary Fiction,Mystery,Literature"
474,The Personal Librarian (Hardcover),Marie Benedict,3.91,338171,36287,small,new,4.07,large,"Historical,Fiction,Historical,Audiobook,Writing,Adult,Adult Fiction,Book Club,Race,New York"
475,The Road (Hardcover),Cormac McCarthy,4.02,1406700,95507,small,new,3.98,large,"Fiction,Science Fiction,Science Fiction,Apocalyptic,Classics,Horror,Literature,Novels,Science Fiction,Contemporary"
476,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.36,8085443,673345,medium,new,4.44,large,"Fantasy,Romance,Young Adult,New Adult,Fairies,Fiction,Fantasy,Romance,Young Adult,Fantasy"
477,The Woman Who Can't Forget: The Extraordinary Story of Living with the Most Remarkable Memory Known to Science,Jill Price,2.92,946,246,very small,new,2.92,small,"Nonfiction,Autobiography,Biography,Psychology,Science,Medical,Audiobook,Biography,Biography Memoir,Health"
478,Hidden Pictures (Hardcover),Jason Rekulak,4.14,72953,10173,very small,new,4.21,large,"Horror,Thriller,Mystery,Fiction,Thriller,Fantasy,Suspense,Audiobook,Adult,Fantasy"
479,Batman: Fortunate Son,Gerard Jones,3.97,28665,1142,large,new,2.06,small,"Sequential Art,Dc Comics,Sequential Art,Superheroes,Graphic Novels Comics,Comics,Fiction,Comics"
480,In Cold Blood (Paperback),Truman Capote,4.01,947188,42691,average,old,4.08,large,"Nonfiction,Classics,Crime,Mystery,Mystery,History,Thriller,Literature,Audiobook,Literature"
481,"Allegiant (Divergent, #3)",Veronica Roth,4.03,6677273,294115,medium,new,3.61,large,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Audiobook,Apocalyptic"
482,The Second Shepherd's Play,Wakefield Master,2.84,913,69,very small,new,2.77,small,"Plays,Classics,Drama,Academic,Plays,Historical,Academic,Literature,Academic,Literature"
483,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,4.21,3294312,292062,average,new,4.28,large,"Fantasy,Romance,New Adult,Romance,Paranormal,Fantasy,Fiction,Young Adult,Adult,Fantasy"
484,"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,4.33,755696,94926,very small,new,4.36,large,"Mystery,Young Adult,Thriller,Thriller,Contemporary,Fiction,Mystery,Audiobook,Mystery,Romance"
485,A Little Life (Hardcover),Hanya Yanagihara,4.26,463277,71959,small,new,4.34,large,"Fiction,Contemporary,LGBT,Literary Fiction,Adult,LGBT,Health,Novels,Audiobook,Adult Fiction"
486,Cari Mora,Thomas  Harris,4.08,1002434,22444,small,new,2.83,medium,"Thriller,Fiction,Horror,Mystery,Mystery,Thriller,Audiobook,Suspense,Adult,Novels"
487,Fangirl (Kindle Edition),Rainbow Rowell,3.96,2766957,263016,medium,new,3.98,large,"Young Adult,Contemporary,Romance,Fiction,Realistic Fiction,New Adult,Audiobook,Young Adult,Young Adult,Womens Fiction"
488,Untold Story,Monica Ali,3.69,96131,7926,small,new,2.93,medium,"Fiction,Womens Fiction,Historical,Contemporary,Science Fiction,Literary Fiction,European Literature,Adult,Adult Fiction,Literature"
489,"My Brilliant Friend (The Neapolitan Novels, #1)",Elena Ferrante,4.14,826425,67592,small,new,4.01,large,"Fiction,Historical,Cultural,European Literature,Literary Fiction,Contemporary,Audiobook,Novels,Historical,Young Adult"
490,"The Ex Hex (The Ex Hex, #1)",Erin Sterling,3.59,146222,22317,very small,new,3.54,large,"Romance,Fantasy,Fiction,Fantasy,Contemporary,Paranormal,Adult,Audiobook,Fantasy,Romance"
491,Ronit & Jamil,Pamela L. Laskin,2.85,1596,449,small,new,2.84,medium,"Poetry,Young Adult,Romance,Contemporary,Retellings,Fiction,Young Adult,Realistic Fiction,Audiobook,Cultural"
492,The Tales of Beedle the Bard (Hardcover),J.K. Rowling,4.46,32200287,716343,large,new,4.05,large,"Fantasy,Fiction,Young Adult,Short Stories,Childrens,Fantasy,Childrens,Fantasy,Audiobook,Science Fiction Fantasy"
493,"Eighty Days Yellow (Eighty Days, #1)",Vina Jackson,3.21,12335,1157,small,new,2.91,medium,"Adult Fiction,Erotica,Romance,Adult,Contemporary,Romance,Fiction,Dark,Erotica,Romance"
494,The Very Hungry Caterpillar (Board book),Eric Carle,4.24,978734,27037,large,old,4.31,large,"Childrens,Childrens,Fiction,Classics,Animals,Food and Drink,Number,Childrens,Kids,Science"
495,"Girl, Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be (ebook)",Rachel Hollis,3.69,337910,28672,small,new,3.61,large,"Nonfiction,Self Help,Audiobook,Self Help,Autobiography,Christian,Adult,Inspirational,Biography,Unfinished"
