Title,Author,Rating,Raters,Genres,Author Average Rating,Author Votes,Review Count,Distinct Works,Year
My Jane Austen Summer: A Season in Mansfield Park,Cindy  Jones,2.91,1048,"Fiction,Womens Fiction,Romance,European Literature,Unfinished,Contemporary,Historical,Adult Fiction,Womens Fiction,Modern",,,,,
"Idiot: Beating ""The Curse"" and Enjoying the Game of Life",Johnny Damon,2.86,338,"Sports,Sports,Nonfiction,Biography,Autobiography,Biography",,,,,
Amanda Bright @ Home,Danielle Crittenden,2.71,269,"Fiction,Womens Fiction",,,,,
Loop Group,Larry McMurtry,2.69,1021,"Fiction,Womens Fiction,Audiobook,Unfinished,Contemporary,Literary Fiction",,,,,
Swan,Naomi Campbell,2.69,159,"Womens Fiction,Fiction,Mystery,Mystery,Contemporary,Thriller,Marriage,Romance",,,,,
Bob Honey Who Just Do Stuff,Pappy Pariah,2.48,911,"Fiction,Audiobook,Humor,Short Stories,Politics,Humor,Contemporary",,,,,
That Thing Called Love,Tuhin A. Sinha,2.89,863,"Fiction,Romance,Novels,Asian Literature",,,,,
The Strange Case of the Composer and His Judge,Patricia Duncker,2.91,318,"Fiction,Mystery,Cultural,Mystery,Audiobook,Thriller",,,,,
Summer Reading,Hilma Wolitzer,2.75,959,"Fiction,Womens Fiction,Writing,Relationships,Womens,Adult,Womens Fiction,Audiobook,Contemporary,Adult Fiction",,,,,
Becoming Strangers,Louise Dean,2.8,533,"Fiction,Contemporary,Novels,European Literature,Literary Fiction,Marriage,Love",,,,,
The Woman Who Can't Forget: The Extraordinary Story of Living with the Most Remarkable Memory Known to Science,Jill Price,2.92,945,"Nonfiction,Autobiography,Biography,Psychology,Science,Medical,Audiobook,Biography,Biography Memoir,Health",,,,,
The Sexual Life of Catherine M.,Catherine Millet,2.82,3321,"Adult Fiction,Nonfiction,Biography,Autobiography,Sexuality,Cultural,Biography,Biography Memoir,Literature,Womens",,,,,
Daddy Was the Black Dahlia Killer: The Identity of America's Most Notorious Serial Murderer--Revealed at Last,Janice Knowlton,2.86,251,"Crime,Nonfiction,Mystery",,,,,
"1.000 razones para no enamorarse (1.000 razones, #1)",Hortense Ullrich,2.85,997,"Romance,Young Adult",,,,,
A Gronking to Remember: Book One in the Rob Gronkowski Erotica Series,Lacey Noonan,2.86,161,"Fiction,Adult Fiction",,,,,
Would It Kill You to Stop Doing That: A Modern Guide to Manners,Henry  Alford,2.95,926,"Nonfiction,Humor,Self Help,Reference,Writing,Adult,Sociology,Audiobook,Book Club,Autobiography",,,,,
"The 100 Thing Challenge: How I Got Rid of Almost Everything, Remade My Life, and Regained My Soul",Dave Bruno,2.89,2216,"Nonfiction,Self Help,Autobiography,Self Help,Adult,Biography,Philosophy,Unfinished,Environment,Psychology",,,,,
"Notting Hell (Notting Hell Trilogy, #1)",Rachel Johnson,2.92,987,"Womens Fiction,Fiction,Contemporary,Humor,Adult,European Literature,Romance",,,,,
"Tomorrow Never Learns (Wolverine and the X-Men, #1)",Jason Latour,2.91,388,"Sequential Art,Superheroes,Sequential Art,Marvel,Comics,Graphic Novels Comics,Comics,Fiction,Sequential Art,Science Fiction",,,,,
Posh,Lucy   Jackson,2.93,989,"Fiction,Womens Fiction,Young Adult,New York,Adult,Adult Fiction,Realistic Fiction,Literature,Drama,Academic",,,,,
The Feminist and the Cowboy: An Unlikely Love Story,Alisa Valdes,2.68,285,"Autobiography,Nonfiction,Feminism,Romance,Biography,Westerns",,,,,
Echte mannen eten geen kaas,Maria Mosterd,2.51,1160,"Nonfiction,European Literature,Biography,Autobiography,Roman,Academic,Biography,Contemporary",,,,,
A Bad Bride's Tale,Polly Williams,2.96,538,"Womens Fiction,Fiction,Romance,Adult,Adult Fiction,Novels,European Literature",,,,,
"Fantastic Four, Volume 3: Doomed",Matt Fraction,2.94,318,"Sequential Art,Sequential Art,Superheroes,Comics,Fiction,Comics,Graphic Novels Comics",,,,,
The Meowmorphosis,Coleridge Cook,2.94,985,"Fiction,Fantasy,Humor,Animals,Classics,Retellings,Science Fiction,Adult,Adult Fiction,Horror",,,,,
The Cowboy's Wish,Ruth Ann Nordin,2.84,238,"Romance,Short Stories,Science Fiction,Science Fiction,Fantasy,Westerns,Fiction,Romance,Historical,Fantasy",,,,,
The Headmaster Ritual,Taylor Antrim,2.81,296,"Fiction,Anthologies,Young Adult",,,,,
366,Amir Tag Elsir,2.97,978,"Novels,Fiction,Literature,Romance",,,,,
Gloria Victis,Eliza Orzeszkowa,2.79,2655,"Academic,Classics,European Literature,Fiction,Short Stories,Historical,Academic,Cultural,War,Audiobook",,,,,
Immunity,Taylor Antrim,2.58,307,"Science Fiction,Fiction,Adult,Fantasy",,,,,
Siłaczka,Stefan Żeromski,2.68,1349,"European Literature,Classics,Fiction,Academic,Short Stories,Cultural,Literature,Novels,Academic",,,,,
The Spa,Fay Weldon,2.81,578,"Fiction,Womens Fiction,Literary Fiction,Short Stories,Novels,Romance,Mystery,Womens,Contemporary",,,,,
The Glamorous (Double) Life of Isabel Bookbinder,Holly McQueen,2.9,883,"Womens Fiction,Fiction,Romance,Humor,Adult",,,,,
September Girls,Bennett Madison,2.96,2185,"Young Adult,Fantasy,Romance,Mythology,Fantasy,Contemporary,Fiction,Mystery,Young Adult,Young Adult",,,,,
Topics of Conversation,Miranda Popkey,2.82,8235,"Fiction,Contemporary,Literary Fiction,Feminism,Novels,Adult,Audiobook,Womens,Short Stories,Adult Fiction",,,,,
Call Me Zebra,Azareen Van der Vliet Oloomi,2.86,1190,"Fiction,Contemporary,Cultural,Literary Fiction,Novels,Writing,Unfinished,Literature,Audiobook,Literature",,,,,
گندم,م. مودب‌پور,2.59,1321,"Novels,Romance,Literature,Fiction,Roman",,,,,
Coming of Age at the End of Days,Alice LaPlante,2.87,571,"Fiction,Young Adult,Contemporary,Religion,Young Adult,Thriller,Family,Thriller,Adult,Mystery",,,,,
Prayer,Philip Kerr,2.9,1135,"Fiction,Thriller,Mystery,Mystery,Fantasy,Suspense,Thriller,Horror,Thriller,Audiobook",,,,,
Hungry Woman in Paris,Josefina López,2.73,449,"Fiction,Adult Fiction,Novels",,,,,
Wedding Season,Darcy Cosper,2.82,798,"Womens Fiction,Fiction,Romance,Contemporary,Adult,Literature",,,,,
Civil War II: Kingpin,Matthew Rosenberg,2.88,170,"Sequential Art,Superheroes,Sequential Art,Comics,Marvel,Comics",,,,,
The Love of My Youth,Mary Gordon,2.82,1031,"Fiction,Romance,Cultural,Literary Fiction,Contemporary,Love,Relationships,Womens Fiction,Adult Fiction,Unfinished",,,,,
I'm So Happy for You,Lucinda Rosenfeld,2.74,1394,"Fiction,Womens Fiction,Romance,Adult Fiction,Novels,Adult,Contemporary,Humor,Womens Fiction,Book Club",,,,,
The Diagnosis,Alan Lightman,2.85,1070,"Fiction,Novels,Literature,Contemporary,Unfinished,Adult,Literature,Book Club,Literary Fiction,Health",,,,,
Lost in Arcadia,Sean Gandert,2.67,1019,"Fiction,Science Fiction,Science Fiction,Science Fiction Fantasy,Modern,Speculative Fiction,Business",,,,,
Naked Came the Stranger,Penelope Ashe,2.94,365,"Fiction,Adult Fiction,Humor,Sexuality,Classics,Humor,Novels",,,,,
The Sugar Frosted Nutsack,Mark Leyner,2.93,1080,"Fiction,Humor,Novels,Fantasy,Contemporary,Humor,Unfinished,Literature,Literature,Literature",,,,,
Christmas With My Grinch,B.L. Morticia,2.9,171,"Romance,Holiday,Romance,Holiday,Romance,Short Stories,Adult Fiction,Erotica,LGBT,Contemporary",,,,,
The Uninvited Guests,Sadie Jones,2.96,8774,"Fiction,Historical,Mystery,Historical,Fantasy,Fantasy,Gothic,European Literature,Fantasy,Adult",,,,,
First X-Men,Neal Adams,2.99,269,"Sequential Art,Sequential Art,Marvel,Superheroes,Comics,Fiction,Graphic Novels Comics,Comics,Science Fiction,Comics Manga",,,,,
The Queen's Lover,Francine du Plessix Gray,2.97,1081,"Historical,Fiction,Cultural,European History,Historical,Romance,Literature,Adult,Literature,Cultural",,,,,
So Long at the Fair,Christina Schwarz,2.79,730,"Fiction,Contemporary,Relationships,Adult,Marriage",,,,,
"Apocalypse Wars (Uncanny X-Men: Superior, #2)",Cullen Bunn,2.97,425,"Sequential Art,Superheroes,Marvel,Sequential Art,Comics,Comics,Graphic Novels Comics,Fiction,Science Fiction",,,,,
"Final Genesis (Young X-Men, #1)",Marc Guggenheim,2.94,175,"Sequential Art,Marvel,Sequential Art,Superheroes,Graphic Novels Comics,Comics,Comics",,,,,
Book of Numbers,Joshua Cohen,2.98,1242,"Fiction,Contemporary,Literary Fiction,Novels,Literature,Literature,Unfinished,Literature,Science,The United States Of America",,,,,
The Scorpion's Sweet Venom: The Diary of a Brazilian Call Girl,Bruna Surfistinha,2.76,928,"Nonfiction,Biography,Cultural,Biography,Adult Fiction,Sex Work,Autobiography,Contemporary,European Literature,Feminism",,,,,
If the Shoe Fits,Stephanie Rowe,2.98,416,"Womens Fiction,Romance,Fiction,Audiobook,Contemporary,Romance,Literature",,,,,
"The Accidental Groupie (The Accidental Groupie, #1)",Simone Holloway,2.93,242,"Romance,Adult Fiction,Short Stories,New Adult,Womens Fiction,Music,Adult",,,,,
Tomorrow,Graham Swift,2.64,1180,"Fiction,Literary Fiction,Contemporary,European Literature,Audiobook,Novels,Family,Literature,Literature,Relationships",,,,,
Cum Laude,Cecily von Ziegesar,2.51,1878,"Young Adult,Fiction,Womens Fiction,Contemporary,Academic,Adult Fiction,Adult,Romance,New Adult,Drama",,,,,
The Ring: The Last Knight Templar's Inheritance,Jorge Molist,3.0,896,"Fiction,Historical,Thriller,Mystery,Historical,Adventure,Religion,Anthologies,Thriller,Unfinished",,,,,
Chicago: A Novel of Prohibition,David Mamet,2.92,1332,"Fiction,Historical,Mystery,Mystery,Historical,Literature,Thriller,Novels,Thriller,Literary Fiction",,,,,
Rancid Aluminium,James Hawes,2.95,310,"Fiction,Mystery,Humor,European Literature,Contemporary",,,,,
The Twelve,William  Gladstone,2.57,730,"Fiction,Mystery,Contemporary,Science Fiction,Thriller,Adventure,Science Fiction Fantasy",,,,,
You Are Here,Meenakshi Reddy Madhavan,2.69,717,"Womens Fiction,Fiction,Contemporary,Cultural",,,,,
A Girl Like Me,Swati Kaushal,2.95,233,"Young Adult,Womens Fiction",,,,,
The Squirrel Mother,Megan Kelso,2.86,645,"Sequential Art,Sequential Art,Short Stories,Fiction,Young Adult,Graphic Novels Comics,Adult,Sequential Art,The United States Of America,Politics",,,,,
The Astor Orphan: A Memoir,Alexandra Aldrich,2.91,1292,"Autobiography,Nonfiction,Biography,Biography Memoir,History,Biography,Historical,New York,Audiobook,Womens",,,,,
Le Survenant,Germaine Guèvremont,2.81,1155,"Classics,Fiction,Academic,Cultural,Cultural,Academic,Roman,Novels,Historical,Audiobook",,,,,
Death of the Black-Haired Girl,Robert  Stone,2.68,1162,"Fiction,Mystery,Thriller,Mystery,Suspense,Thriller,Novels,Drama,Adult,Literature",,,,,
Life is Short and Desire Endless,Patrick Lapeyre,2.88,332,"Cultural,Fiction,Roman,Novels",,,,,
The J.A.P. Chronicles,Isabel Rose,2.87,608,"Womens Fiction,Fiction,Literature",,,,,
Quality Of Life Report,Meghan Daum,2.98,1174,"Fiction,Womens Fiction,Contemporary,Novels,Book Club,New York,Writing,Literature,Humor",,,,,
Hysteria,Eva Gale,2.68,231,"Adult Fiction,Romance,Historical,Romance,Fiction,Historical,Short Stories,Adult,Romance,Novella",,,,,
Gaudí in Manhattan,Carlos Ruiz Zafón,2.99,421,"Fiction,Roman,Short Stories,Mystery,Novels,Magical Realism",,,,,
Sakina's restaurant,Aasif Mandvi,2.85,1268,"Fiction,Audiobook,Plays,Humor,Drama,Humor,Cultural,Plays,Cultural,Family",,,,,
Past Perfect,Susan Isaacs,3.02,1235,"Fiction,Mystery,Womens Fiction,Thriller,Audiobook,Thriller,Spy Thriller,Modern,Adult Fiction,Novels",,,,,
Avengers & X-Men: AXIS,Rick Remender,2.96,1215,"Sequential Art,Superheroes,Sequential Art,Marvel,Comics,Graphic Novels Comics,Comics,Fiction,Fantasy,Comics Manga",,,,,
Wrecked,Anna Davies,2.93,1818,"Young Adult,Mythology,Fantasy,Romance,Fantasy,Romance,Fantasy,Fantasy,Fiction,Fantasy",,,,,
You Lost Me There,Rosecrans Baldwin,2.91,1212,"Fiction,Contemporary,Novels,Literary Fiction,Unfinished,Literature,Adult,Adult Fiction,Suspense,Audiobook",,,,,
Cut Both Ways,Carrie Mesrobian,2.93,1533,"LGBT,Young Adult,Contemporary,Romance,Realistic Fiction,Fiction,LGBT,Young Adult,LGBT,Young Adult",,,,,
"Empress of the Night: A Novel of Catherine the Great (Catherine, #2)",Eva Stachniak,3.04,1409,"Historical,Cultural,Historical,Fiction,Literature,Cultural,Russian History,History,Audiobook,Adult",,,,,
Death of Wolverine: The Logan Legacy,Charles Soule,2.97,383,"Sequential Art,Sequential Art,Superheroes,Comics,Marvel,Comics,Graphic Novels Comics,Fantasy,Fiction,Anthologies",,,,,
A Place For Wolves,Kosoko Jackson,3.02,173,"Young Adult,LGBT,Historical,Historical,Fiction,LGBT,Thriller,Romance,Contemporary,LGBT",,,,,
X-Men: X-Termination,Greg Pak,2.96,245,"Sequential Art,Superheroes,Sequential Art,Marvel,Comics,Graphic Novels Comics,Comics,Action,Fiction",,,,,
The Kingdom of Ohio,Matthew Flaming,3.01,1275,"Historical,Fiction,Fantasy,Science Fiction,Science Fiction,Science Fiction,Historical,Unfinished,Science Fiction Fantasy,Speculative Fiction",,,,,
"Nanny Returns (Nanny, #2)",Emma McLaughlin,2.93,8153,"Womens Fiction,Fiction,Adult Fiction,Adult,Contemporary,Audiobook,Romance,Humor,New York,Novels",,,,,
Hystopia,David Means,2.94,1372,"Fiction,Science Fiction,Historical,Science Fiction,War,Literary Fiction,Novels,Science Fiction,Speculative Fiction,Literature",,,,,
"Eighty Days Yellow (Eighty Days, #1)",Vina Jackson,2.91,5481,"Adult Fiction,Erotica,Romance,Adult,Contemporary,Romance,Fiction,Dark,Erotica,Romance",,,,,
"The Wilderness of Ruin: A Tale of Madness, Fire, and the Hunt for America's Youngest Serial Killer",Roseanne Montillo,2.9,1509,"Crime,Nonfiction,History,Mystery,Historical,Literature,North American Hi...,Mystery,Biography,Mental Health",,,,,
"The Great Corruption (Uncanny X-Force, #3)",Sam Humphries,2.96,204,"Sequential Art,Superheroes,Marvel,Sequential Art,Comics,Graphic Novels Comics,Comics,Fiction",,,,,
Death of X,Jeff Lemire,2.96,793,"Sequential Art,Superheroes,Sequential Art,Marvel,Comics,Comics,Fiction,Graphic Novels Comics,Comics Manga,Sequential Art",,,,,
Almost English,Charlotte Mendelson,2.9,1504,,,,,,
Sandor slash Ida,Sara Kadefors,3.02,1963,"Young Adult,European Literature,Romance,Contemporary,Fiction,Novels,Academic,Childrens,Cultural,Young Adult",,,,,
Civil War II: Gods of War,Dan Abnett,2.92,170,"Sequential Art,Superheroes,Sequential Art,Comics,Fiction,Fantasy,Comics",,,,,
Mr. Muo's Travelling Couch,Dai Sijie,2.79,1543,"Fiction,Cultural,Cultural,Cultural,Literature,Literature,Novels,Unfinished,Adult Fiction,Historical",,,,,
The Soul Thief,Charles Baxter,2.92,1533,"Fiction,Novels,Literary Fiction,Contemporary,Adult Fiction,New York,Academic,Literature,Realistic Fiction,Mystery",,,,,
A Christmas Blizzard,Garrison Keillor,2.9,1687,"Holiday,Fiction,Humor,Holiday,Adult,Audiobook,Humor,Book Club,Novels,Contemporary",,,,,
"Counter-Evolutionary (Uncanny Avengers, #6)",Rick Remender,2.98,368,"Sequential Art,Superheroes,Sequential Art,Comics,Marvel,Graphic Novels Comics,Comics,Fiction,Comics Manga,Science Fiction",,,,,
Ravens,George Dawes Green,3.01,1832,"Fiction,Thriller,Suspense,Mystery,Thriller,Horror,Mystery,Contemporary,Adult Fiction,Literature",,,,,
The Skull and the Nightingale,Michael Irwin,2.86,410,"Historical,Fiction,Historical,European Literature,Horror,Literature,Adult,Literary Fiction,Mystery,Literature",,,,,
"Quantum (Captain Chase, #1)",Patricia Cornwell,2.98,17678,"Mystery,Fiction,Thriller,Science Fiction,Thriller,Audiobook,Suspense,Mystery,Unfinished,Space",,,,,
Fifty Shades of Mr Darcy: A Parody,William Codpiece Thwackery,2.86,545,"Romance,Humor,Adult Fiction,Fiction,Humor,Adult,Erotica,Historical,Historical,Romance",,,,,
In the Kitchen,Monica Ali,2.75,1995,"Fiction,European Literature,Food and Drink,Contemporary,Unfinished,Literary Fiction,Novels,Literature,Literature,Adult Fiction",,,,,
Cari Mora,Thomas  Harris,2.82,9951,"Thriller,Fiction,Horror,Mystery,Mystery,Thriller,Audiobook,Suspense,Adult,Novels",,,,,
Charlotte Temple,Susanna Rowson,2.95,2443,"Classics,Fiction,Academic,Academic,Literature,Academic,Literature,Literature,Historical,Academic",,,,,
Gather 'Round the Sound,Paulo Coelho,2.72,2382,"Fiction,Holiday,Short Stories,Audiobook,Holiday,Anthologies,Classics,Novella,Music,Short Stories",,,,,
The Rose Labyrinth,Titania Hardie,2.91,3386,"Fiction,Historical,Mystery,Historical,Thriller,Fantasy,Romance,Thriller,Adventure,European Literature",,,,,
Untold Story,Monica Ali,2.93,2400,"Fiction,Womens Fiction,Historical,Contemporary,Science Fiction,Literary Fiction,European Literature,Adult,Adult Fiction,Literature",,,,,
To Kill a Mockingbird (Paperback),Harper Lee,4.27,5510092,"Classics,Fiction,Historical,Academic,Literature,Young Adult,Historical,Academic,Novels,Young Adult",4.23,"5,795,640","139,969",50,1960.0
1984 (Paperback),George Orwell,4.19,4034352,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Politics,Academic,Fantasy,Adult",4.1,"8,007,938","201,434",729,1949.0
Pride and Prejudice (Paperback),Jane Austen,4.28,3800710,"Classics,Fiction,Romance,Historical,Literature,Historical,Novels,Audiobook,Romance,Adult",4.14,"7,410,567","236,940","2,081",1813.0
The Book Thief (Hardcover),Markus Zusak,4.39,2283079,"Historical,Fiction,Young Adult,Historical,Classics,War,World War II,War,Writing,Audiobook",4.35,"2,492,083","155,646",25,2006.0
The Fault in Our Stars (Hardcover),John Green,4.16,4583660,"Young Adult,Romance,Fiction,Contemporary,Realistic Fiction,Young Adult,Young Adult,Novels,Drama,Love",4.0,"8,873,561","413,746",46,2012.0
The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.18,3383697,"Classics,Nonfiction,History,Biography,Autobiography,Historical,World War II,Biography,War,War",4.18,"3,446,416","39,176",71,1947.0
The Great Gatsby (Paperback),F. Scott Fitzgerald,3.93,4669649,"Classics,Fiction,Academic,Historical,Literature,Romance,Novels,Academic,Young Adult,Literature",3.91,"5,107,397","118,138","1,273",1925.0
The Alchemist (Paperback),Paulo Coelho,3.9,2684062,"Fiction,Classics,Fantasy,Philosophy,Novels,Spirituality,Self Help,Literature,Adventure,Inspirational",3.8,"3,889,259","172,390",225,1988.0
All the Light We Cannot See (Hardcover),Anthony Doerr,4.32,1377724,"Historical,Fiction,Historical,War,War,Audiobook,Adult,Cultural,Book Club,Literary Fiction",4.3,"1,567,798","118,309",47,2014.0
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,4.46,1707879,"Fiction,Historical,Romance,LGBT,Contemporary,Audiobook,Adult,Historical,LGBT,LGBT",4.27,"3,847,577","430,281",19,2017.0
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,4.47,8958054,"Fantasy,Fiction,Young Adult,Fantasy,Childrens,Childrens,Classics,Adventure,Audiobook,Science Fiction Fantasy",4.46,"32,199,008","716,314",385,1997.0
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,7702346,"Young Adult,Fiction,Science Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook",4.26,"14,551,351","471,004",32,2008.0
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,2980906,"Fiction,Mystery,Thriller,Mystery,Thriller,Suspense,Contemporary,Adult,Cultural,Adult Fiction",4.17,"4,852,880","160,529",68,2005.0
The Girl on the Train (Hardcover),Paula Hawkins,3.95,2630147,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Audiobook,Adult,Adult Fiction",3.89,"3,112,958","158,294",16,2015.0
Steve Jobs (Hardcover),Walter Isaacson,4.16,1159757,"Biography,Nonfiction,Business,Science,History,Biography Memoir,Audiobook,Leadership,Biography,Autobiography",4.15,"1,633,601","39,790",71,2011.0
The Catcher in the Rye (Paperback),J.D. Salinger,3.81,3227613,"Classics,Fiction,Young Adult,Literature,Academic,Novels,Young Adult,Young Adult,Literature,Academic",3.84,"3,654,801","90,793",119,1951.0
Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.97,2129885,"Classics,Fiction,Science Fiction,Science Fiction,Academic,Literature,Novels,Fantasy,Audiobook,Adult",3.99,"2,966,069","120,425","1,691",1953.0
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.13,1826597,"Fiction,Classics,Science Fiction,Science Fiction,Feminism,Fantasy,Adult,Audiobook,Literature,Novels",4.04,"3,486,340","218,499",470,1985.0
The Midnight Library (Hardcover),Matt Haig,4.03,1200479,"Fiction,Fantasy,Contemporary,Audiobook,Magical Realism,Adult,Science Fiction,Health,Adult Fiction,Book Club",4.01,"1,668,194","187,984",89,2020.0
Jane Eyre (Paperback),Charlotte Brontë,4.14,1921478,"Classics,Fiction,Romance,Historical,Gothic,Literature,Historical,Academic,Literature,Novels",4.02,"3,520,224","95,892",869,1847.0
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.63,5982244,"Fantasy,Young Adult,Romance,Fiction,Paranormal,Fantasy,Romance,Fantasy,Fantasy,Young Adult",3.68,"13,005,848","387,884",74,2005.0
Little Women (Paperback),Louisa May Alcott,4.13,2019688,"Classics,Fiction,Historical,Young Adult,Romance,Historical,Literature,Childrens,Classics,Audiobook",4.1,"2,359,676","64,153","1,638",1868.0
Gone Girl (Paperback),Gillian Flynn,4.11,2781724,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Adult,Audiobook,Adult Fiction",4.06,"4,699,806","273,615",21,2012.0
The Kite Runner (Paperback),Khaled Hosseini,4.33,2872762,"Fiction,Historical,Classics,Contemporary,Novels,Historical,Literature,Adult,Academic,Drama",4.33,"4,717,719","195,536",27,2003.0
Wuthering Heights (Paperback),Emily Brontë,3.88,1631340,"Classics,Fiction,Romance,Gothic,Historical,Literature,Literature,Novels,Historical,Classics",3.89,"1,670,616","53,104",695,1847.0
The Picture of Dorian Gray (Paperback),Oscar Wilde,4.11,1298144,"Classics,Fiction,Horror,Fantasy,Gothic,Literature,Novels,Literature,LGBT,Classics",4.11,"2,159,866","92,092","2,824",1890.0
The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,4.22,733146,"Fantasy,Fiction,Historical,Romance,Adult,Audiobook,Historical,Magical Realism,LGBT,Contemporary",4.17,"1,701,292","237,346",61,2020.0
"Divergent (Divergent, #1)",Veronica Roth,4.16,3592559,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Action,Apocalyptic",4.03,"6,677,151","294,114",50,2011.0
Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari,4.38,846814,"Nonfiction,History,Science,Philosophy,Anthropology,Audiobook,Psychology,Sociology,Historical,Biology",4.33,"1,222,247","74,056",54,2011.0
Circe (Hardcover),Madeline Miller,4.25,782601,"Fantasy,Fiction,Fantasy,Historical,Mythology,Retellings,Audiobook,Historical,Adult,Fantasy",4.31,"1,843,766","198,156",12,2018.0
Anna Karenina (Paperback),Leo Tolstoy,4.08,779370,"Classics,Fiction,Romance,Cultural,Historical,Literature,Literature,Novels,Literature,Historical",4.08,"1,487,197","77,552","3,537",1878.0
How to Win Friends and Influence People (Paperback),Dale Carnegie,4.21,850992,"Self Help,Nonfiction,Business,Psychology,Self Help,Leadership,Classics,Language,Audiobook,Relationships",4.2,"1,003,960","28,154",524,1936.0
The Silent Patient (Hardcover),Alex Michaelides,4.17,1291234,"Thriller,Mystery,Fiction,Thriller,Audiobook,Suspense,Mystery,Adult,Thriller,Contemporary",4.09,"1,514,160","146,950",9,2019.0
The Time Traveler's Wife (ebook),Audrey Niffenegger,3.99,1712988,"Fiction,Romance,Fantasy,Science Fiction,Science Fiction,Contemporary,Adult,Womens Fiction,Adult Fiction,Magical Realism",3.94,"1,830,702","68,280",41,2004.0
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3535816,"Fantasy,Classics,Fiction,Adventure,Young Adult,Science Fiction Fantasy,Fantasy,Childrens,Fantasy,Novels",4.35,"10,073,413","175,255",512,1937.0
Lord of the Flies (Paperback),William Golding,3.69,2663176,"Classics,Fiction,Young Adult,Academic,Literature,Science Fiction,Academic,Novels,Young Adult,Adventure",3.69,"2,685,635","50,212",91,1954.0
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2303264,"Fantasy,Fiction,Fantasy,Adult,Fantasy,Science Fiction Fantasy,Adventure,Audiobook,Fantasy,Epic",4.37,"6,423,033","220,099","1,121",1996.0
"Dune (Dune, #1)",Frank Herbert,4.25,1151202,"Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Audiobook,Space,Novels,Adventure,Adult",4.13,"1,887,134","77,998",364,1965.0
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.2,1230157,"Fantasy,Romance,Young Adult,New Adult,Fiction,Fairies,Retellings,Fantasy,Young Adult,Romance",4.36,"8,084,588","673,297",87,2015.0
The Night Circus (Hardcover),Erin Morgenstern,4.03,863003,"Fantasy,Fiction,Romance,Historical,Magical Realism,Fantasy,Young Adult,Adult,Audiobook,Historical",4.0,"1,031,772","123,843",5,2011.0
Educated (Hardcover),Tara Westover,4.47,1254353,"Nonfiction,Autobiography,Biography,Audiobook,Biography Memoir,Biography,Education,Book Club,Adult,Religion",4.47,"1,255,931","93,610",7,2018.0
Brave New World (Paperback),Aldous Huxley,3.99,1695334,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Academic,Fantasy,Philosophy,Science Fiction Fantasy",3.99,"2,028,148","52,877",442,1932.0
Eleanor & Park (Hardcover),Rainbow Rowell,3.97,1079516,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Young Adult,Young Adult,Young Adult",3.96,"2,766,957","263,016",93,2012.0
People We Meet on Vacation (Paperback),Emily Henry,3.95,716494,"Romance,Fiction,Contemporary,Romance,Adult,Womens Fiction,Audiobook,Adult Fiction,Travel,New Adult",4.05,"1,909,306","216,951",11,2021.0
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1697693,"Science Fiction,Fiction,Humor,Classics,Fantasy,Humor,Science Fiction Fantasy,Audiobook,Adventure,Novels",4.2,"3,166,111","75,134",87,1979.0
"Red Queen (Red Queen, #1)",Victoria Aveyard,4.03,853643,"Fantasy,Young Adult,Science Fiction,Romance,Fiction,Young Adult,Fantasy,Audiobook,Science Fiction,Fantasy",3.94,"1,634,617","124,969",24,2015.0
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.49,733000,"Fantasy,Young Adult,Fiction,Young Adult,Romance,LGBT,Adventure,Fantasy,Fantasy,Audiobook",4.17,"3,659,317","407,612",69,2015.0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Paperback),Mark Manson,3.91,872917,"Nonfiction,Self Help,Psychology,Audiobook,Self Help,Philosophy,Business,Humor,Adult,Health",3.92,"1,014,602","64,007",78,2016.0
