,Description
297,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer5555000077822525721"">Fans of Stephen King, Jack Kilborn, and Blake Crouch… prepare to meet the Devil.<br/><br/>In the vine-twisted swamps of Louisiana, the shadows have teeth.<br/><br/>Jack Winter has spent his entire life running from something no one else can see. His childhood is his darkest secret, but after a near fatal accident along a deserted road, the darkness he was sure he’d escaped rears its ugly head</span>
  <span id=""freeText5555000077822525721"" style=""display:none"">Fans of Stephen King, Jack Kilborn, and Blake Crouch… prepare to meet the Devil.<br/><br/>In the vine-twisted swamps of Louisiana, the shadows have teeth.<br/><br/>Jack Winter has spent his entire life running from something no one else can see. His childhood is his darkest secret, but after a near fatal accident along a deserted road, the darkness he was sure he’d escaped rears its ugly head… and smiles.<br/><br/>But this time, he isn’t the only one who sees the soulless eyes of his past. This time, his six-year-old daughter Charlie leans into his ear and whispers: Daddy, I saw it too.<br/><br/>And then she begins to change.<br/><br/>Faced with reliving the nightmares of his childhood, Jack watches his daughter spiral into the shadows that had nearly consumed him twenty years before. <br/><br/>But Charlie isn’t the only one who’s changing. <br/><br/>Jack never outran the darkness. It’s been with him all along. <br/><br/>And it’s hungrier than ever. <br/><br/>A new breed of dark fiction: the subtlety of Seed will haunt you, and the end will wickedly satisfy.</span>
  <a data-text-id=""5555000077822525721"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
298,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer2610732099338280669"">""Last night I dreamt I went to Manderley again...""<br/><br/>Ancient, beautiful Manderley, between the rose garden and the sea, is the county's showpiece. Rebecca made it so - even a year after her death, Rebecca's influence still rules there. How can Maxim de Winter's shy new bride ever fill her place or escape her vital shadow?<br/><br/>A shadow that grows longer and darker as the brief summ</span>
  <span id=""freeText2610732099338280669"" style=""display:none"">""Last night I dreamt I went to Manderley again...""<br/><br/>Ancient, beautiful Manderley, between the rose garden and the sea, is the county's showpiece. Rebecca made it so - even a year after her death, Rebecca's influence still rules there. How can Maxim de Winter's shy new bride ever fill her place or escape her vital shadow?<br/><br/>A shadow that grows longer and darker as the brief summer fades, until, in a moment of climatic revelations, it threatens to eclipse Manderley and its inhabitants completely...</span>
  <a data-text-id=""2610732099338280669"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
299,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer625516009835014163""><i>Alternate cover edition of ISBN 0553213695 / 9780553213690</i><br/><br/>""As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt co</span>
  <span id=""freeText625516009835014163"" style=""display:none""><i>Alternate cover edition of ISBN 0553213695 / 9780553213690</i><br/><br/>""As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off completely. His numerous legs, which were pitifully thin compared to the rest of his bulk, waved helplessly before his eyes."" <br/><br/>With it's startling, bizarre, yet surprisingly funny first opening, Kafka begins his masterpiece, <i>The Metamorphosis</i>. It is the story of a young man who, transformed overnight into a giant beetle-like insect, becomes an object of disgrace to his family, an outsider in his own home, a quintessentially alienated man. A harrowing—though absurdly comic—meditation on human feelings of inadequacy, guilt, and isolation, <i>The Metamorphosis</i> has taken its place as one of the most widely read and influential works of twentieth-century fiction. As W.H. Auden wrote, ""Kafka is important to us because his predicament is the predicament of modern man.""</span>
  <a data-text-id=""625516009835014163"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
300,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer5210202795287880032"">The first time the lightning strikes Laura Shane is born...<br/><br/>The second time it strikes the terror starts... though eight-year-old Laura is saved by a mysterious stranger from the perverted and deadly intentions of a drug-crazed robber. Throughout her childhood she is plagued by ever more terrifying troubles, and with increasing courage she finds the strength to prevail - ev</span>
  <span id=""freeText5210202795287880032"" style=""display:none"">The first time the lightning strikes Laura Shane is born...<br/><br/>The second time it strikes the terror starts... though eight-year-old Laura is saved by a mysterious stranger from the perverted and deadly intentions of a drug-crazed robber. Throughout her childhood she is plagued by ever more terrifying troubles, and with increasing courage she finds the strength to prevail - even without the intervention of her strange guardian. But, despite her success as a novelist and her happy family life, Laura cannot shake the certainty that powerful and malignant forces are controlling her destiny.<br/><br/>Then the lightning strikes once more and shatters her world. The adventure - and the terror - have only just begun...</span>
  <a data-text-id=""5210202795287880032"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
301,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer13949525556034812224"">It was Vera's idea to buy the Itza. The ""world's most advanced smart speaker!"" didn't interest Thiago, but Vera thought it would be a bit of fun for them amidst all the strange occurrences happening in the condo. It made things worse. The cold spots and scratching in the walls were weird enough, but peculiar packages started showing up at the house—who ordered industrial l</span>
  <span id=""freeText13949525556034812224"" style=""display:none"">It was Vera's idea to buy the Itza. The ""world's most advanced smart speaker!"" didn't interest Thiago, but Vera thought it would be a bit of fun for them amidst all the strange occurrences happening in the condo. It made things worse. The cold spots and scratching in the walls were weird enough, but peculiar packages started showing up at the house—who ordered industrial lye? Then there was the eerie music at odd hours, Thiago waking up to Itza projecting light shows in an empty room.<br/><br/>It was funny and strange right up until Vera was killed, and Thiago's world became unbearable. Pundits and politicians all looking to turn his wife's death into a symbol for their own agendas. A barrage of texts from her well-meaning friends about letting go and moving on. Waking to the sound of Itza talking softly to someone in the living room...<br/><br/>The only thing left to do was get far away from Chicago. Away from everything and everyone. A secluded cabin in Colorado seemed like the perfect place to hole up with his crushing grief. But soon Thiago realizes there is no escape—not from his guilt, not from his simmering rage, and not from the evil hunting him, feeding on his grief, determined to make its way into this world.<br/><br/>A bold, original horror novel about grief, loneliness and the oppressive intimacy of technology, <i>This Thing Between Us</i> marks the arrival of a spectacular new talent.</span>
  <a data-text-id=""13949525556034812224"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
302,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer4355672765348968469"">An epidemic of apocalyptic proportions has swept the globe, causing the dead to rise and feed on the living. In a matter of months, society has crumbled: there is no government, no grocery stores, no mail delivery, no cable TV. In a world ruled by the dead, we are forced to finally begin living. This volume follows our band of survivors as they set up a permanent camp insi</span>
  <span id=""freeText4355672765348968469"" style=""display:none"">An epidemic of apocalyptic proportions has swept the globe, causing the dead to rise and feed on the living. In a matter of months, society has crumbled: there is no government, no grocery stores, no mail delivery, no cable TV. In a world ruled by the dead, we are forced to finally begin living. This volume follows our band of survivors as they set up a permanent camp inside a prison. Relationships change, characters die, and our team of survivors learn there's something far more deadly than zombies out there: each other.</span>
  <a data-text-id=""4355672765348968469"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
303,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer8102895261158077306"">Now from the mind of a true master of suspense comes the next chapter in <i>Bird Box</i>. This time, Malorie is front and center, and she will confront the dangers of her world head-on.<br/><br/>Twelve years after Malorie and her children rowed up the river to safety, a blindfold is still the only thing that stands between sanity and madness. One glimpse of the creatures that stalk the wor</span>
  <span id=""freeText8102895261158077306"" style=""display:none"">Now from the mind of a true master of suspense comes the next chapter in <i>Bird Box</i>. This time, Malorie is front and center, and she will confront the dangers of her world head-on.<br/><br/>Twelve years after Malorie and her children rowed up the river to safety, a blindfold is still the only thing that stands between sanity and madness. One glimpse of the creatures that stalk the world will drive a person to unspeakable violence. There remains no explanation. No solution.<br/><br/>All Malorie can do is survive.<br/>But then comes what feels like impossible news. And with it, the first time Malorie has allowed herself to hope. Someone very dear to her, someone she believed dead, may be alive.<br/><br/>Malorie has a harrowing choice to make: to live by the rules of survival that have served her so well, or to venture into the darkness and reach for hope once more.</span>
  <a data-text-id=""8102895261158077306"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
304,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer16725553467527265229""><strong>A romantic cabin getaway doesn’t go exactly as planned.</strong> <br/>High up on the windswept cliffs of Pale Peak, Faye and Felix celebrate their new engagement. But soon, a chorus of ghastly noises erupts from the nearby woods: the screams of animals, the cries of children, and the mad babble of a hundred mournful voices. A dark figure looms near the windows in the dead of night, whis</span>
  <span id=""freeText16725553467527265229"" style=""display:none""><strong>A romantic cabin getaway doesn’t go exactly as planned.</strong> <br/>High up on the windswept cliffs of Pale Peak, Faye and Felix celebrate their new engagement. But soon, a chorus of ghastly noises erupts from the nearby woods: the screams of animals, the cries of children, and the mad babble of a hundred mournful voices. A dark figure looms near the windows in the dead of night, whispering to Faye. As the weather turns deadly, Felix discovers that his terrified fiancée isn’t just mumbling in her sleep – <i>she’s whispering back.</i> <br/> <br/><p><strong>Originally a contest-winning story on reddit.com’s horror community NoSleep</strong>, <i>Stolen Tongues</i> has received widespread acclaim and is now being adapted into a feature film.</p></span>
  <a data-text-id=""16725553467527265229"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
305,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer970908113988623040"">""Something is murdering my men.""<br/><br/>Thus reads the message received from a Nazi commander stationed in a small castle high in the remote Transylvanian Alps. And when an elite SS extermination squad is dispatched to solve the problem, the men find a something that's both powerful and terrifying. Invisible and silent, the enemy selects one victim per night, leaving the bloodless</span>
  <span id=""freeText970908113988623040"" style=""display:none"">""Something is murdering my men.""<br/><br/>Thus reads the message received from a Nazi commander stationed in a small castle high in the remote Transylvanian Alps. And when an elite SS extermination squad is dispatched to solve the problem, the men find a something that's both powerful and terrifying. Invisible and silent, the enemy selects one victim per night, leaving the bloodless and mutilated corpses behind to terrify its future victims.<br/><br/>Panicked, the Nazis bring in a local expert on folklore―who just happens to be Jewish―to shed some light on the mysterious happenings. And unbeknownst to anyone, there is another visitor on his way―a man who awoke from a nightmare and immediately set out to meet his destiny.<br/><br/>The battle has begun: On one side, the ultimate evil created by man, and on the other...the unthinkable, unstoppable, unknowing terror that man has inevitably awakened.</span>
  <a data-text-id=""970908113988623040"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
306,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer13188853496601384916"">Shaun Mason is a man without a mission. Not even running the news organization he built with his sister has the same urgency as it used to. Playing with dead things just doesn't seem as fun when you've lost as much as he has.<br/><br/>But when a CDC researcher fakes her own death and appears on his doorstep with a ravenous pack of zombies in tow, Shaun has a newfound interest in lif</span>
  <span id=""freeText13188853496601384916"" style=""display:none"">Shaun Mason is a man without a mission. Not even running the news organization he built with his sister has the same urgency as it used to. Playing with dead things just doesn't seem as fun when you've lost as much as he has.<br/><br/>But when a CDC researcher fakes her own death and appears on his doorstep with a ravenous pack of zombies in tow, Shaun has a newfound interest in life. Because she brings news-he may have put down the monster who attacked them, but the conspiracy is far from dead.<br/><br/>Now, Shaun hits the road to find what truth can be found at the end of a shotgun. <br/><br/><b>Newsflesh </b><br/><i>Feed</i><br/><i>Deadline</i><br/><i>Blackout</i></span>
  <a data-text-id=""13188853496601384916"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
307,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer1392314518267874597"">When you have to kill the same terrorist twice in one week there's either something wrong with your world or something wrong with your skills... and there's nothing wrong with Joe Ledger's skills. And that's both a good, and a bad thing. It's good because he's a Baltimore detective that has just been secretly recruited by the government to lead a new taskforce created to d</span>
  <span id=""freeText1392314518267874597"" style=""display:none"">When you have to kill the same terrorist twice in one week there's either something wrong with your world or something wrong with your skills... and there's nothing wrong with Joe Ledger's skills. And that's both a good, and a bad thing. It's good because he's a Baltimore detective that has just been secretly recruited by the government to lead a new taskforce created to deal with the problems that Homeland Security can't handle. This rapid response group is called the Department of Military Sciences or the DMS for short. It's bad because his first mission is to help stop a group of terrorists from releasing a dreadful bio-weapon that can turn ordinary people into zombies. The fate of the world hangs in the balance...</span>
  <a data-text-id=""1392314518267874597"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
308,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer5259360923786921049""><b>For fans of Stephen King, Neil Gaiman, Lois Duncan, and Daphne Du Maurier comes a powerhouse anthology featuring some of the best writers of YA thrillers and horror </b><br/><br/>A host of the smartest young adult authors come together in this collection of scary stories and psychological thrillers curated by Between the Devil and the Deep Blue Sea’s April Genevieve Tucholke.<br/><br/>Each story </span>
  <span id=""freeText5259360923786921049"" style=""display:none""><b>For fans of Stephen King, Neil Gaiman, Lois Duncan, and Daphne Du Maurier comes a powerhouse anthology featuring some of the best writers of YA thrillers and horror </b><br/><br/>A host of the smartest young adult authors come together in this collection of scary stories and psychological thrillers curated by Between the Devil and the Deep Blue Sea’s April Genevieve Tucholke.<br/><br/>Each story draws from a classic tale or two—sometimes of the horror genre, sometimes not—to inspire something new and fresh and terrifying. There are no superficial scares here; these are stories that will make you think even as they keep you on the edge of your seat. From bloody horror to supernatural creatures to unsettling, all-too-possible realism, this collection has something for any reader looking for a thrill.<br/><br/>Fans of TV’s The Walking Dead, True Blood, and American Horror Story will tear through tales by these talented authors:<br/><br/>Stefan Bachmann<br/>Leigh Bardugo<br/>Kendare Blake<br/>A. G. Howard<br/>Jay Kristoff<br/>Marie Lu<br/>Jonathan Maberry<br/>Danielle Paige<br/>Carrie Ryan<br/>Megan Shepherd<br/>Nova Ren Suma<br/>McCormick Templeman<br/>April Genevieve Tucholke<br/>Cat Winters</span>
  <a data-text-id=""5259360923786921049"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
309,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer13973509044133959988"">The world we knew is gone. What world will rise in its place? <br/><br/>The Twelve have been destroyed and the terrifying hundred-year reign of darkness that descended upon the world has ended. The survivors are stepping outside their walls, determined to build society anew—and daring to dream of a hopeful future. <br/><br/>But far from them, in a dead metropolis, he waits: Zero. The First. F</span>
  <span id=""freeText13973509044133959988"" style=""display:none"">The world we knew is gone. What world will rise in its place? <br/><br/>The Twelve have been destroyed and the terrifying hundred-year reign of darkness that descended upon the world has ended. The survivors are stepping outside their walls, determined to build society anew—and daring to dream of a hopeful future. <br/><br/>But far from them, in a dead metropolis, he waits: Zero. The First. Father of the Twelve. The anguish that shattered his human life haunts him, and the hatred spawned by his transformation burns bright. His fury will be quenched only when he destroys Amy—humanity’s only hope, the Girl from Nowhere who grew up to rise against him. <br/><br/>One last time light and dark will clash, and at last Amy and her friends will know their fate.</span>
  <a data-text-id=""13973509044133959988"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
310,
311,
312,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer4252477406721020612"">A fast-moving, eerie tale set on Halloween night...<br/><br/>Eight costumed boys running to meet their friend Pipkin at the haunted house outside town encounter instead the huge and cadaverous Mr. Moundshroud. As Pipkin scrambles to join them, he is swept away by a dark Something, and Moundshroud leads the boys on the tail of a kite through time and space to search the past for thei</span>
  <span id=""freeText4252477406721020612"" style=""display:none"">A fast-moving, eerie tale set on Halloween night...<br/><br/>Eight costumed boys running to meet their friend Pipkin at the haunted house outside town encounter instead the huge and cadaverous Mr. Moundshroud. As Pipkin scrambles to join them, he is swept away by a dark Something, and Moundshroud leads the boys on the tail of a kite through time and space to search the past for their friend and the meaning of Halloween.</span>
  <a data-text-id=""4252477406721020612"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
313,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer5895045141507995018"">After the sudden death of his wife, Tom Kennedy believes a fresh start will help him and his young son Jake heal. A new beginning, a new house, a new town. Featherbank.<br/><br/>But the town has a dark past. Twenty years ago, a serial killer abducted and murdered five residents. Until Frank Carter was finally caught, he was nicknamed ""The Whisper Man,"" for he would lure his victims </span>
  <span id=""freeText5895045141507995018"" style=""display:none"">After the sudden death of his wife, Tom Kennedy believes a fresh start will help him and his young son Jake heal. A new beginning, a new house, a new town. Featherbank.<br/><br/>But the town has a dark past. Twenty years ago, a serial killer abducted and murdered five residents. Until Frank Carter was finally caught, he was nicknamed ""The Whisper Man,"" for he would lure his victims out by whispering at their windows at night.<br/><br/>Just as Tom and Jake settle into their new home, a young boy vanishes. His disappearance bears an unnerving resemblance to Frank Carter's crimes, reigniting old rumors that he preyed with an accomplice. Now, detectives Amanda Beck and Pete Willis must find the boy before it is too late, even if that means Pete has to revisit his great foe in prison: The Whisper Man.<br/><br/>And then Jake begins acting strangely. He hears a whispering at his window...</span>
  <a data-text-id=""5895045141507995018"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
314,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer13789801417760516469""><b>An Alabama boy’s innocence is shaken by murder and madness in the 1960s South in this novel by the <i>New York Times</i>–bestselling author of <i>Swan Song</i>.</b><br/><br/> It’s 1964 in idyllic Zephyr, Alabama. People either work for the paper mill up the Tecumseh River, or for the local dairy. It’s a simple life, but it stirs the impressionable imagination of twelve-year-old aspiring writer Cory M</span>
  <span id=""freeText13789801417760516469"" style=""display:none""><b>An Alabama boy’s innocence is shaken by murder and madness in the 1960s South in this novel by the <i>New York Times</i>–bestselling author of <i>Swan Song</i>.</b><br/><br/> It’s 1964 in idyllic Zephyr, Alabama. People either work for the paper mill up the Tecumseh River, or for the local dairy. It’s a simple life, but it stirs the impressionable imagination of twelve-year-old aspiring writer Cory Mackenson. He’s certain he’s sensed spirits whispering in the churchyard. He’s heard of the weird bootleggers who lurk in the dark outside of town. He’s seen a flood leave Main Street crawling with snakes. Cory thrills to all of it as only a young boy can.<br/>  <br/> Then one morning, while accompanying his father on his milk route, he sees a car careen off the road and slowly sink into fathomless Saxon’s Lake. His father dives into the icy water to rescue the driver, and finds a beaten corpse, naked and handcuffed to the steering wheel—a copper wire tightened around the stranger’s neck. In time, the townsfolk seem to forget all about the unsolved murder. But Cory and his father can’t.<br/>  <br/> Their search for the truth is a journey into a world where innocence and evil collide. What lies before them is the stuff of fear and awe, magic and madness, fantasy and reality. As Cory wades into the deep end of Zephyr and all its mysteries, he’ll discover that while the pleasures of childish things fade away, growing up can be a strange and beautiful ride.<br/>  <br/> “Strongly echoing the childhood-elegies of King and Bradbury, and every bit their equal,” <i>Boy’s Life</i>, a winner of both the Bram Stoker and World Fantasy Awards, represents a brilliant blend of mystery and rich atmosphere, the finest work of one of today’s most accomplished writers (<i>Kirkus Reviews</i>).</span>
  <a data-text-id=""13789801417760516469"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
315,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer13011435098182695653""><i>Last Days</i> (winner of the British Fantasy Award for Best Horror Novel of the Year) by Adam Nevill is a <i>Blair Witch</i> style novel in which a documentary film-maker undertakes the investigation of a dangerous cult—with creepy consequences<br/><br/>When guerrilla documentary maker, Kyle Freeman, is asked to shoot a film on the notorious cult known as the Temple of the Last Days, it appear</span>
  <span id=""freeText13011435098182695653"" style=""display:none""><i>Last Days</i> (winner of the British Fantasy Award for Best Horror Novel of the Year) by Adam Nevill is a <i>Blair Witch</i> style novel in which a documentary film-maker undertakes the investigation of a dangerous cult—with creepy consequences<br/><br/>When guerrilla documentary maker, Kyle Freeman, is asked to shoot a film on the notorious cult known as the Temple of the Last Days, it appears his prayers have been answered. The cult became a worldwide phenomenon in 1975 when there was a massacre including the death of its infamous leader, Sister Katherine. Kyle's brief is to explore the paranormal myths surrounding an organization that became a testament to paranoia, murderous rage, and occult rituals. The shoot's locations take him to the cult's first temple in London, an abandoned farm in France, and a derelict copper mine in the Arizonan desert where The Temple of the Last Days met its bloody end. But when he interviews those involved in the case, those who haven't broken silence in decades, a series of uncanny events plague the shoots. Troubling out-of-body experiences, nocturnal visitations, the sudden demise of their interviewees and the discovery of ghastly artifacts in their room make Kyle question what exactly it is the cult managed to awaken – and what is its interest in him?</span>
  <a data-text-id=""13011435098182695653"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
316,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer16733452200897612606"">Thirty-something Colquitt and Walter Kennedy live in a charming, peaceful suburb of the newly bustling Atlanta. Life is made up of enjoyable work, long, lazy weekends, and the company of good neighbors. Then, to their shock, construction starts on the vacant lot next door, a wooded hillside they'd believed would always remain undeveloped. Soon, though, they come to realize</span>
  <span id=""freeText16733452200897612606"" style=""display:none"">Thirty-something Colquitt and Walter Kennedy live in a charming, peaceful suburb of the newly bustling Atlanta. Life is made up of enjoyable work, long, lazy weekends, and the company of good neighbors. Then, to their shock, construction starts on the vacant lot next door, a wooded hillside they'd believed would always remain undeveloped. Soon, though, they come to realize that more is wrong than their diminished privacy. Surely the house can't be ""haunted,"" yet something about it seems to destroy the goodness of every person who comes to live in it, until the entire heart of this friendly neighborhood threatens to be torn apart.</span>
  <a data-text-id=""16733452200897612606"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
317,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer3236958194120094252"">Both seventeen. Both afraid. But both saying yes.<br/><br/>It sounded like the perfect first date: canoeing across a chain of lakes, sandwiches and beer in the cooler. But teenagers Amelia and James discover something below the water’s surface that changes their lives forever.<br/><br/>It’s got two stories.<br/><br/>It’s got a garden.<br/><br/>And the front door is open.<br/><br/>It’s a house at the bottom of a lake.<br/><br/>For t</span>
  <span id=""freeText3236958194120094252"" style=""display:none"">Both seventeen. Both afraid. But both saying yes.<br/><br/>It sounded like the perfect first date: canoeing across a chain of lakes, sandwiches and beer in the cooler. But teenagers Amelia and James discover something below the water’s surface that changes their lives forever.<br/><br/>It’s got two stories.<br/><br/>It’s got a garden.<br/><br/>And the front door is open.<br/><br/>It’s a house at the bottom of a lake.<br/><br/>For the teens, there is only one rule: no questions. And yet, how could a place so spectacular come with no price tag? While the duo plays house beneath the waves, one reality remains:<br/><br/>Just because a house is empty, doesn’t mean nobody’s home.</span>
  <a data-text-id=""3236958194120094252"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
318,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer14806046687670609869"">Every city has secrets. But none as terrible as this. His name is Deucalion, a tattooed man of mysterious origin, a sleight-of-reality artist who’s traveled the centuries with a secret worse than death. He arrives as a serial killer stalks the streets, a killer who carefully selects his victims for the humanity that is missing in himself. Detective Carson O’Connor is cool,</span>
  <span id=""freeText14806046687670609869"" style=""display:none"">Every city has secrets. But none as terrible as this. His name is Deucalion, a tattooed man of mysterious origin, a sleight-of-reality artist who’s traveled the centuries with a secret worse than death. He arrives as a serial killer stalks the streets, a killer who carefully selects his victims for the humanity that is missing in himself. Detective Carson O’Connor is cool, cynical, and every bit as tough as she looks. Her partner Michael Maddison would back her up all the way to Hell itself–and that just may be where this case ends up. For the no-nonsense O’Connor is suddenly talking about an ages-old conspiracy, a near immortal race of beings, and killers that are more—and less—than human. Soon it will be clear that as crazy as she sounds, the truth is even more ominous. For their quarry isn’t merely a homicidal maniac—but his deranged maker.</span>
  <a data-text-id=""14806046687670609869"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
319,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer13527215967102540592"">Darren Shan and his best friend, Steve, get tickets to the Cirque Du Freak, a wonderfully gothic freak show featuring weird, frightening half human/half animals who interact terrifyingly with the audience. In the midst of the excitement, true terror raises its head when Steve recognizes that one of the performers-- Mr. Crepsley-- is a vampire! <br/>Steve remains after the show </span>
  <span id=""freeText13527215967102540592"" style=""display:none"">Darren Shan and his best friend, Steve, get tickets to the Cirque Du Freak, a wonderfully gothic freak show featuring weird, frightening half human/half animals who interact terrifyingly with the audience. In the midst of the excitement, true terror raises its head when Steve recognizes that one of the performers-- Mr. Crepsley-- is a vampire! <br/>Steve remains after the show finishes to confront the vampire-- but his motives are surprising! In the shadows of a crumbling theater, a horrified Darren eavesdrops on his friend and the vampire, and is witness to a monstrous, disturbing plea. As if by destiny, Darren is pulled to Mr. Crepsley and what follows is his horrifying descent into the dark and bloody world of vampires. <br/>This is Darren's story. <br/></span>
  <a data-text-id=""13527215967102540592"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
320,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer9421549325472334241"">In the zombie-infested, post-apocalyptic America where Benny Imura lives, every teenager must find a job by the time they turn fifteen or get their rations cut in half. Benny doesn't want to apprentice as a zombie hunter with his boring older brother Tom, but he has no choice. He expects a tedious job whacking zoms for cash, but what he gets is a vocation that will teach h</span>
  <span id=""freeText9421549325472334241"" style=""display:none"">In the zombie-infested, post-apocalyptic America where Benny Imura lives, every teenager must find a job by the time they turn fifteen or get their rations cut in half. Benny doesn't want to apprentice as a zombie hunter with his boring older brother Tom, but he has no choice. He expects a tedious job whacking zoms for cash, but what he gets is a vocation that will teach him what it means to be human.</span>
  <a data-text-id=""9421549325472334241"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
321,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer7247443307376570862""><b>A postapocalyptic take on the perennial classic ""Little Red Riding Hood"", about a woman who isn't as defenseless as she seems.</b><br/><br/>It's not safe for anyone alone in the woods. There are predators that come out at night: critters and coyotes, snakes and wolves. But the woman in the red jacket has no choice. Not since the Crisis came, decimated the population, and sent those who </span>
  <span id=""freeText7247443307376570862"" style=""display:none""><b>A postapocalyptic take on the perennial classic ""Little Red Riding Hood"", about a woman who isn't as defenseless as she seems.</b><br/><br/>It's not safe for anyone alone in the woods. There are predators that come out at night: critters and coyotes, snakes and wolves. But the woman in the red jacket has no choice. Not since the Crisis came, decimated the population, and sent those who survived fleeing into quarantine camps that serve as breeding grounds for death, destruction, and disease. She is just a woman trying not to get killed in a world that doesn't look anything like the one she grew up in, the one that was perfectly sane and normal and boring until three months ago.<br/><br/>There are worse threats in the woods than the things that stalk their prey at night. Sometimes, there are men. Men with dark desires, weak wills, and evil intents. Men in uniform with classified information, deadly secrets, and unforgiving orders. And sometimes, just sometimes, there's something worse than all of the horrible people and vicious beasts combined. <br/><br/>Red doesn't like to think of herself as a killer, but she isn't about to let herself get eaten up just because she is a woman alone in the woods....</span>
  <a data-text-id=""7247443307376570862"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
